Caroline Langsford, Sally Irvine
Sharon Walsh Pete, Darlene Hard
Virginia Wade, Peaches Bartkowicz
Jane Ohara, Farel Footman
Francoise Durr, Nell Truman
Patricia Walkden, Eliza Pande
Kerry Reid, Sue Stap
Pam Teeguarden, Kathleen Harter
Rosie Casals, Cecilia Martinez
Margaret Court, Trish Mcclenaughan
Helen Gourlay, Judy Tegart
Nancy Richey, Olga Morozova
Lesley Hunt, Christina Sandberg
Virginia Wade, Sharon Walsh Pete
Francoise Durr, Jane Ohara
Kerry Reid, Patricia Walkden
Rosie Casals, Pam Teeguarden
Margaret Court, Helen Gourlay
Nancy Richey, Lesley Hunt
Virginia Wade, Francoise Durr
Rosie Casals, Kerry Reid
Margaret Court, Nancy Richey
Rosie Casals, Virginia Wade
Margaret Court, Rosie Casals
Karen Krantzcke, Joyce Williams
Judy Tegart, Virginia Wade
Karen Krantzcke, Helga Schultze
Judy Tegart, Helga Masthoff
Helga Schultze, Christiane Spinoza
Helga Masthoff, Gail Sherriff
Kimiyo Yagahara, Rita Felix
Kazuko Sawamatsu, Anne Marie Studer
Betty Stove, Jane Ohara
Marijke Jansen, Faye Urban
Jane Ohara, Kirsten Robsahm
Andree Martin, Ellen Grindvold
Jane Ohara, Alice Alexandri
Andree Martin, Dionissia Asteri
Kimiyo Yagahara, Kirsten Robsahm
Kazuko Sawamatsu, Ellen Grindvold
Kimiyo Yagahara, Robyn Legge
Kazuko Sawamatsu, Marilyn Pryde
Karen Krantzcke, Vlasta Kodesova
Judy Tegart, Alena Palmeova West
Karen Krantzcke, Ingrid Bentzer
Judy Tegart, Christina Sandberg
Betty Stove, Dionissia Asteri
Marijke Jansen, Carol Ann Kalogeropoulos
Lita Liem, Ingrid Bentzer
Christina Sandberg, Lany Kaligis
Rita Felix, Monique Van Haver
Marianne Kindler, Ingrid Loeys
Winnie Shaw, Robyn Legge
Virginia Wade, Marilyn Pryde
Anne Marie Studer, Michele Kahn
Marianne Kindler, Ingrid Loeys
