Caroline Langsford, Sally Irvine
Helga Schultze, Patricia Edwards
Katalin Borka, Lenka Kodesova
Virginia Wade, Karin Seltenreich
Fay Toyne, Almut Sturm
Kerry Reid, Edith Winkens
Vlasta Kodesova, Kora Schediwy
Evonne Goolagong, Amelie Hacks
Winnie Shaw, Miroslava Holubova
Laura Rossouw, Sonja Pachta
Katja Ebbinghaus, Brenda Kirk
Annette Van Zyl, Miroslava Kozeluhova
Nell Truman, Gaby Tremus
Judy Tegart, Heide Orth
Helga Schultze, Katalin Borka
Fay Toyne, Virginia Wade
Kerry Reid, Vlasta Kodesova
Evonne Goolagong, Winnie Shaw
Laura Rossouw, Karen Krantzcke
Annette Van Zyl, Katja Ebbinghaus
Helga Masthoff, Nell Truman
Helga Schultze, Judy Tegart
Kerry Reid, Fay Toyne
Evonne Goolagong, Laura Rossouw
Helga Masthoff, Annette Van Zyl
Helga Schultze, Kerry Reid
Helga Masthoff, Evonne Goolagong
Helga Schultze, Helga Masthoff
Patricia Walkden, Louise Brown
Linda Tuero, Andree Martin
Esme Emmanuel, Jade Schiffman
Helen Gourlay, Jane Ohara
Margaret Court, Susan Eagar
Linda Tuero, Patricia Walkden
Esme Emmanuel, Helen Gourlay
Rosie Casals, Cecilia Martinez
Margaret Court, Linda Tuero
Rosie Casals, Esme Emmanuel
Margaret Court, Rosie Casals
Mary Ann Eisel, Mary Struthers
Nell Truman, Janet Newberry
Patricia Walkden, Patricia Bostrom
Karen Krantzcke, Kristien Shaw
Corinne Molesworth, Denise Carter
Esme Emmanuel, Marjorie Gengler
Lesley Hunt, Gail Hansen
Francoise Durr, Pamela Austin
Margaret Court, Sherry Bedingfield
Kathleen Harter, Laura Dupont
Gail Sherriff, Margaret Cooper
Eliza Pande, Tory Ann Fretz
Kerry Reid, Chris Evert
Cecilia Martinez, Connie Capozzi
Sharon Walsh Pete, Helen Gourlay
Peaches Bartkowicz, Chris Safford
Mary Ann Eisel, Nell Truman
Patricia Walkden, Karen Krantzcke
Corinne Molesworth, Esme Emmanuel
Francoise Durr, Lesley Hunt
Margaret Court, Kathleen Harter
Gail Sherriff, Eliza Pande
Kerry Reid, Cecilia Martinez
Peaches Bartkowicz, Sharon Walsh Pete
Patricia Walkden, Mary Ann Eisel
Corinne Molesworth, Francoise Durr
Margaret Court, Gail Sherriff
Kerry Reid, Peaches Bartkowicz
Patricia Walkden, Corinne Molesworth
Margaret Court, Kerry Reid
Margaret Court, Patricia Walkden
Mary Ann Eisel, Linda Tuero
Olga Morozova, Patricia Walkden
Patti Hogan, Francoise Durr
Peaches Bartkowicz, Chris Evert
Gail Sherriff, Karen Krantzcke
Lesley Hunt, Nell Truman
Denise Carter, Corinne Molesworth
Kerry Reid, Betty Ann Grubb
Helen Gourlay, Lany Kaligis
Valerie Ziegenfuss, Virginia Wade
Kristy Pigeon, Ingrid Bentzer
Judy Tegart, Marina Kroschina
Margaret Court, Kathleen Harter
Olga Morozova, Mary Ann Eisel
Patti Hogan, Peaches Bartkowicz
Lesley Hunt, Gail Sherriff
Kerry Reid, Denise Carter
Helen Gourlay, Valerie Ziegenfuss
Judy Tegart, Kristy Pigeon
Rosie Casals, Pam Teeguarden
Margaret Court, Olga Morozova
Patti Hogan, Lesley Hunt
Kerry Reid, Helen Gourlay
Judy Tegart, Rosie Casals
Patti Hogan, Margaret Court
Kerry Reid, Judy Tegart
Kerry Reid, Patti Hogan
Lesley Hunt, Barbara Downs
Mary Struthers, Daryl Gralka
Esme Emmanuel, Pat Stewart
Nell Truman, Chris Matison
Cecilia Martinez, Lita Liem
Kristien Shaw, Kerry Harris
Linda Lewis, Darlene Hard
Corinne Molesworth, Pam Teeguarden
Becky Vest, Patricia Cody
Janet Newberry, Sally Holdsworth
Patricia Walkden, Maricaye Christenson
Betty Ann Grubb, Louise Brough
Carole Graebner, Jill Schwikert
Sharon Walsh Pete, Christiane Spinoza
Kathleen Harter, Ann Lebedeff
Helen Gourlay, Janice Metcalf
Lesley Hunt, Mary Struthers
Esme Emmanuel, Nell Truman
Cecilia Martinez, Kristien Shaw
Linda Lewis, Corinne Molesworth
Janet Newberry, Becky Vest
Patricia Walkden, Betty Ann Grubb
Sharon Walsh Pete, Carole Graebner
Helen Gourlay, Kathleen Harter
Lesley Hunt, Esme Emmanuel
Cecilia Martinez, Linda Lewis
Patricia Walkden, Janet Newberry
Sharon Walsh Pete, Helen Gourlay
Lesley Hunt, Cecilia Martinez
Sharon Walsh Pete, Patricia Walkden
Sharon Walsh Pete, Lesley Hunt
Billie Jean King, Cathie Gagel
Eliza Pande, Kerry Harris
Lesley Hunt, Tam Oshaughnessy
Denise Carter, Janet Newberry
Nancy Richey, Barbara Downs
Valerie Ziegenfuss, Cecilia Martinez
Patti Hogan, Clare Schmoyer
Helen Gourlay, Gail Hansen
Marcie Louie, Kristy Pigeon
Sharon Walsh Pete, Kate Latham
Patricia Walkden, Tina Lyman
Kerry Reid, Chris Matison
Kathleen Harter, Nell Truman
Judy Tegart, Farel Footman
Esme Emmanuel, Corinne Molesworth
Rosie Casals, Brenda Garcia
Billie Jean King, Eliza Pande
Lesley Hunt, Denise Carter
Nancy Richey, Valerie Ziegenfuss
Helen Gourlay, Patti Hogan
Sharon Walsh Pete, Marcie Louie
Patricia Walkden, Kerry Reid
Judy Tegart, Kathleen Harter
Rosie Casals, Esme Emmanuel
Billie Jean King, Lesley Hunt
Nancy Richey, Helen Gourlay
Sharon Walsh Pete, Patricia Walkden
Rosie Casals, Judy Tegart
Nancy Richey, Billie Jean King
Rosie Casals, Sharon Walsh Pete
Nancy Richey, Rosie Casals
Billie Jean King, Patti Hogan
Corinne Molesworth, Betty Stove
Francoise Durr, Rosie Casals
Sharon Walsh Pete, Darlene Hard
Valerie Ziegenfuss, Nell Truman
Ann Jones, Mary Ann Eisel
Joyce Williams, Stephanie Johnson
Virginia Wade, Winnie Shaw
Billie Jean King, Corinne Molesworth
Francoise Durr, Sharon Walsh Pete
Ann Jones, Valerie Ziegenfuss
Virginia Wade, Joyce Williams
Billie Jean King, Francoise Durr
Ann Jones, Virginia Wade
Virginia Wade, Francoise Durr
Billie Jean King, Ann Jones
Margaret Court, Wendy Turnbull
Janine Whyte, Vicki Lancaster Kerr
Evonne Goolagong, Valerie Caulley
Lesley Hunt, Lany Kaligis
Karen Krantzcke, Cynthia Doerner
Kerry Harris, Kerry Wilkinson
Christina Sandberg, L Cameron
Winnie Shaw, Chris Matison
Janet Young, Jo Anne Faull
Cheryl Norquay, L Halim
Judy Tegart, Anne Coleman
Wendy Gilchrist, Kerry Ballard
Lita Liem, Patricia Edwards
Helen Kayser, S Oconor
Kerry Reid, Judy Harris
Margaret Court, Janine Whyte
Lesley Hunt, Evonne Goolagong
Karen Krantzcke, Marilyn Tesch
Christina Sandberg, Kerry Harris
Winnie Shaw, Janet Young
Judy Tegart, Cheryl Norquay
Wendy Gilchrist, Lita Liem
Kerry Reid, Helen Kayser
Margaret Court, Lesley Hunt
Karen Krantzcke, Christina Sandberg
Judy Tegart, Winnie Shaw
Kerry Reid, Wendy Gilchrist
Margaret Court, Karen Krantzcke
Kerry Reid, Judy Tegart
Margaret Court, Kerry Reid
Margaret Court, Deidre Catt
Lynne Nette, L Cameron
Cynthia Doerner, Kerry Wilkinson
Winnie Shaw, Julie Hunt
Karen Krantzcke, Janine Whyte
Lany Kaligis, Lynette Mansfield
Janet Young, Adrienne Avis
Jan Lehane, Judy Harris
Christina Sandberg, Helen Amos
Marilyn Tesch, Helen Kayser
Judy Tegart, Jo Anne Faull
Kerry Harris, Helen Sheedy
Lita Liem, Maureen Mccalman
Sue Hole, Cheryl Norquay
Judith Gohl, Sally Irvine
Kerry Reid, Evonne Goolagong
Margaret Court, Lynne Nette
Winnie Shaw, Cynthia Doerner
Karen Krantzcke, Lany Kaligis
Jan Lehane, Janet Young
Christina Sandberg, Sue Hole
Judy Tegart, Marilyn Tesch
Kerry Harris, Lita Liem
Kerry Reid, Judith Gohl
Margaret Court, Winnie Shaw
Karen Krantzcke, Jan Lehane
Judy Tegart, Christina Sandberg
Kerry Reid, Kerry Harris
Margaret Court, Karen Krantzcke
Kerry Reid, Judy Tegart
Margaret Court, Kerry Reid
Stephanie Defina, Iris Buntemeyer
Carol Gfroerer, Toni Novack
Laurie Fleming, Maria Mejides
Sherry Bedingfield, Eileen Carter
Patricia Reese, Karen Seiferd
Sue Epstein, Sally Slater
Kathy Blake, Marge Kilgus
Chris Evert, Jeanne Blackmon
Stephanie Defina, Carol Gfroerer
Laurie Fleming, Sherry Bedingfield
Patricia Reese, Sue Epstein
Chris Evert, Kathy Blake
Laurie Fleming, Stephanie Defina
Chris Evert, Patricia Reese
Chris Evert, Laurie Fleming
Margaret Court, Patti Hogan
Francoise Durr, Virginia Wade
Billie Jean King, Rosie Casals
Ann Jones, Mary Ann Eisel
Margaret Court, Francoise Durr
Billie Jean King, Ann Jones
Margaret Court, Billie Jean King
Mary Ann Eisel, Jade Schiffman
Stephanie Defina, Vicky Smouse
Betty Ann Grubb, Barbara Foster
Peggy Michel, Una Keyes
Esme Emmanuel, Sue Stap
Gail Hansen, Valerie Ziegenfuss
Pam Teeguarden, Patricia Reese
Patti Hogan, Ann Flint
Mary Ann Eisel, Stephanie Defina
Betty Ann Grubb, Peggy Michel
Esme Emmanuel, Gail Hansen
Pam Teeguarden, Patti Hogan
Mary Ann Eisel, Betty Ann Grubb
Pam Teeguarden, Esme Emmanuel
Betty Ann Grubb, Esme Emmanuel
Mary Ann Eisel, Pam Teeguarden
Patti Hogan, Patricia Reese
Wendy Overton, Carol Hansen
Stephanie Defina, Una Keyes
Maricaye Christenson, Dorothy Knode
Esme Emmanuel, Sue Stap
Andrea Voikos, Peggy Michel
Pam Teeguarden, Irene Jozefowitz
Peaches Bartkowicz, Judy Dixon
Nancy Richey, Carol Gordon
Valerie Ziegenfuss, Jade Schiffman
Patti Hogan, Wendy Overton
Stephanie Defina, Maricaye Christenson
Esme Emmanuel, Andrea Voikos
Peaches Bartkowicz, Pam Teeguarden
Betty Ann Grubb, Vicky Smouse
Mary Ann Eisel, Joan Keller
Nancy Richey, Valerie Ziegenfuss
Patti Hogan, Stephanie Defina
Peaches Bartkowicz, Esme Emmanuel
Mary Ann Eisel, Betty Ann Grubb
Patti Hogan, Nancy Richey
Mary Ann Eisel, Peaches Bartkowicz
Nancy Richey, Peaches Bartkowicz
Mary Ann Eisel, Patti Hogan
Laurie Fleming, Ilse Buding
Judith Szorenyi, Astrid Suurbeek
Nell Truman, Kathleen Harter
Linda Tuero, Robin Lloyd
Chris Evert, Isabella Ortiz
Pam Teeguarden, Ada Bakker
Patti Hogan, Kerry Harris
Valerie Ziegenfuss, Kathy Blake
Darlene Hard, Sally Holdsworth
Betty Ann Grubb, Maria Teresa Nasuelli
Vlasta Kodesova, Christiane Spinoza
Stephanie Defina, Alena Palmeova West
Nancy Richey, Laurie Fleming
Nell Truman, Judith Szorenyi
Linda Tuero, Mary Ann Eisel
Chris Evert, Pam Teeguarden
Valerie Ziegenfuss, Patti Hogan
Peaches Bartkowicz, Darlene Hard
Betty Ann Grubb, Vlasta Kodesova
Stephanie Defina, Julie Heldman
Nancy Richey, Nell Truman
Chris Evert, Linda Tuero
Peaches Bartkowicz, Valerie Ziegenfuss
Stephanie Defina, Betty Ann Grubb
Nancy Richey, Chris Evert
Peaches Bartkowicz, Stephanie Defina
Nancy Richey, Peaches Bartkowicz
Margaret Court, Veronica Burton
Alex Cowie, Dianne Bridger
Shirley Bloomer, Jill Cooper
Patti Hogan, Patricia Cody
Annette Van Zyl, Pamela Austin
Dianne Oakley Grundy, Patricia Edwards
Joyce Williams, Lindsey Beaven
Fay Toyne, Wendy Tomlinson
Corinne Molesworth, Sally Holdsworth
Evonne Goolagong, Marilyn Aschner
Lindsay Blachford, Daphne Pattison
Patricia Walkden, Elizabeth Ernest
Nell Truman, Jackie Fayter
Helen Gourlay, Robin Lloyd
Rita Bentley, Kerry Harris
Ann Jones, Sannie Gouws
Margaret Court, Alex Cowie
Patti Hogan, Shirley Bloomer
Annette Van Zyl, Dianne Oakley Grundy
Joyce Williams, Fay Toyne
Evonne Goolagong, Corinne Molesworth
Patricia Walkden, Lindsay Blachford
Helen Gourlay, Nell Truman
Ann Jones, Rita Bentley
Margaret Court, Patti Hogan
Joyce Williams, Annette Van Zyl
Evonne Goolagong, Patricia Walkden
Ann Jones, Helen Gourlay
Joyce Williams, Margaret Court
Ann Jones, Evonne Goolagong
Ann Jones, Joyce Williams
Chris Evert, Francoise Durr
Virginia Wade, Laurie Fleming
Chris Evert, Margaret Court
Nancy Richey, Virginia Wade
Nancy Richey, Chris Evert
Rosie Casals, Valerie Ziegenfuss
Kerry Reid, Kristy Pigeon
Judy Tegart, Billie Jean King
Nancy Richey, Peaches Bartkowicz
Rosie Casals, Kerry Reid
Judy Tegart, Nancy Richey
Kerry Reid, Nancy Richey
Rosie Casals, Judy Tegart
Billie Jean King, Valerie Ziegenfuss
Mary Ann Eisel, Cecilia Martinez
Rosie Casals, Kristy Pigeon
Nancy Richey, Darlene Hard
Billie Jean King, Mary Ann Eisel
Nancy Richey, Rosie Casals
Billie Jean King, Nancy Richey
Virginia Wade, Wendy Slaughter
Betty Stove, Barbara Walsh
Patti Hogan, Penny Moor
Sharon Walsh Pete, Janice Townsend
Winnie Shaw, Corinne Molesworth
Francoise Durr, Jackie Fayter
Joyce Williams, Lesley Charles
Ann Jones, Nell Truman
Virginia Wade, Betty Stove
Sharon Walsh Pete, Patti Hogan
Winnie Shaw, Francoise Durr
Ann Jones, Joyce Williams
Sharon Walsh Pete, Virginia Wade
Winnie Shaw, Ann Jones
Sharon Walsh Pete, Winnie Shaw
Patti Hogan, Vicky Schofield
Sally Holdsworth, Barbara Wadsworth
Winnie Shaw, Marilyn Greenwood
Nell Truman, Jenny Helliar
Corinne Molesworth, Margot Knowles
Joyce Williams, Janet Wheeler
Janice Townsend, Veronica Burton
Francoise Durr, Barbara Walsh
Ann Jones, Lesley Charles
Betty Stove, Penny Moor
Patti Hogan, Sally Holdsworth
Winnie Shaw, Nell Truman
Joyce Williams, Corinne Molesworth
Francoise Durr, Janice Townsend
Sharon Walsh Pete, Denise Staniszewski
Virginia Wade, Jackie Fayter
Ann Jones, Betty Stove
Patti Hogan, Winnie Shaw
Francoise Durr, Joyce Williams
Virginia Wade, Sharon Walsh Pete
Ann Jones, Patti Hogan
Virginia Wade, Francoise Durr
Virginia Wade, Ann Jones
Virginia Wade, Barbara Walsh
Betty Stove, Corinne Molesworth
Winnie Shaw, Lesley Charles
Nell Truman, Patti Hogan
Joyce Williams, Marilyn Greenwood
Sharon Walsh Pete, Janice Townsend
Ann Jones, Jenny Helliar
Virginia Wade, Betty Stove
Winnie Shaw, Nell Truman
Sharon Walsh Pete, Joyce Williams
Ann Jones, Francoise Durr
Virginia Wade, Winnie Shaw
Ann Jones, Sharon Walsh Pete
Virginia Wade, Ann Jones
Virginia Wade, Joanne Haye
Nicola Salter, Sarah Huntington
Joyce Williams, Sue Garrett
Jenny Helliar, Wendy Slaughter
Lesley Charles, Patti Hogan
Janice Townsend, Nuala Dwyer
Francoise Durr, Jackie Fayter
Corinne Molesworth, Marilyn Greenwood
Sue Barker, J Lloyd
Winnie Shaw, Veronica Burton
Lindsey Beaven, Nell Truman
Barbara Walsh, Sandra Coe
Wendy Hall, D Mckinnon
Betty Stove, C Richens
Penny Moor, C Eaton Smith
Ann Jones, Nora Davies
Virginia Wade, Nicola Salter
Joyce Williams, Jenny Helliar
Janice Townsend, Lesley Charles
Francoise Durr, Corinne Molesworth
Winnie Shaw, Sue Barker
Barbara Walsh, Lindsey Beaven
Betty Stove, Wendy Hall
Ann Jones, Penny Moor
Virginia Wade, Joyce Williams
Francoise Durr, Janice Townsend
Winnie Shaw, Barbara Walsh
Ann Jones, Betty Stove
Virginia Wade, Francoise Durr
Ann Jones, Winnie Shaw
Ann Jones, Virginia Wade
Virginia Wade, Patti Hogan
Francoise Durr, Sharon Walsh Pete
Winnie Shaw, Betty Stove
Ann Jones, Joyce Williams
Francoise Durr, Virginia Wade
Ann Jones, Winnie Shaw
Francoise Durr, Ann Jones
Margaret Court, Kimiyo Hatanaka
Brenda Kirk, Lita Liem
Anne Coleman, Ruia Morrison
Winnie Shaw, Maria Teresa Nasuelli
Gail Sherriff, Jane Ohara
Janet Young, Raquel Giscafre
Junko Sawamatsu, Susan Butt
Patti Hogan, Kayoko Fukuoka
Evonne Goolagong, Daniela Marzano
Betty Stove, Ines Roget
Marilyn Pryde, Sharon Walsh Pete
Laura Rossouw, Vicki Lancaster Kerr
Lesley Hunt, Trudy Groenman
Olga Morozova, Robyn Legge
Kazuko Sawamatsu, Lany Kaligis
Virginia Wade, Andree Martin
Margaret Court, Brenda Kirk
Winnie Shaw, Anne Coleman
Gail Sherriff, Janet Young
Patti Hogan, Junko Sawamatsu
Betty Stove, Evonne Goolagong
Laura Rossouw, Marilyn Pryde
Lesley Hunt, Olga Morozova
Virginia Wade, Kazuko Sawamatsu
Margaret Court, Winnie Shaw
Gail Sherriff, Patti Hogan
Betty Stove, Laura Rossouw
Virginia Wade, Lesley Hunt
Margaret Court, Gail Sherriff
Virginia Wade, Betty Stove
Margaret Court, Virginia Wade
Billie Jean King, Helen Amos
Jill Cooper, Erzsebet Polgar
Odile De Roubin, Ulla Sandulf
Evelyne Terras, Pam Teeguarden
Helga Masthoff, Pamela Austin
Tiiu Kivi, Irena Skulj
Lita Liem, Denise Carter
Gail Sherriff, Wendy Tomlinson
Virginia Wade, Lexie Kenny
Helga Schultze, Katalin Borka
Christina Sandberg, Helen Gourlay
Katja Ebbinghaus, Eva Szabo
Francoise Durr, Peaches Bartkowicz
Christiane Spinoza, Judith Salome
Judy Tegart, Cecilia Martinez
Karen Krantzcke, Fiorella Bonicelli
Laura Rossouw, Mary Ann Eisel
Vlasta Kodesova, Ingrid Bentzer
Ana Maria Arias, Marie Pinterova
Wendy Overton, Kerry Reid
Kerry Harris, Brenda Kirk
Esme Emmanuel, Kathleen Harter
Fay Toyne, Kimiyo Hatanaka
Julie Heldman, Janine Lieffrig
Kristy Pigeon, Edith Winkens
Judith Szorenyi, Betty Stove
Patricia Walkden, Monica Giorgi
Rosie Casals, Alena Palmeova West
Lesley Hunt, Lea Pericoli
Eva Lundquist, Marianna Brummer
Olga Morozova, Kazuko Sawamatsu
Margaret Court, Marijke Jansen
Billie Jean King, Jill Cooper
Odile De Roubin, Evelyne Terras
Helga Masthoff, Tiiu Kivi
Gail Sherriff, Lita Liem
Virginia Wade, Helga Schultze
Christina Sandberg, Katja Ebbinghaus
Francoise Durr, Christiane Spinoza
Karen Krantzcke, Judy Tegart
Vlasta Kodesova, Laura Rossouw
Ana Maria Arias, Wendy Overton
Esme Emmanuel, Kerry Harris
Julie Heldman, Fay Toyne
Kristy Pigeon, Judith Szorenyi
Rosie Casals, Patricia Walkden
Lesley Hunt, Eva Lundquist
Margaret Court, Olga Morozova
Billie Jean King, Odile De Roubin
Helga Masthoff, Gail Sherriff
Virginia Wade, Christina Sandberg
Karen Krantzcke, Francoise Durr
Vlasta Kodesova, Ana Maria Arias
Julie Heldman, Esme Emmanuel
Rosie Casals, Kristy Pigeon
Margaret Court, Lesley Hunt
Helga Masthoff, Billie Jean King
Karen Krantzcke, Virginia Wade
Julie Heldman, Vlasta Kodesova
Margaret Court, Rosie Casals
Helga Masthoff, Karen Krantzcke
Margaret Court, Julie Heldman
Margaret Court, Helga Masthoff
Aleksandra Ivanova, Irena Skulj
Alice Tym, Shirley Collins
Beverley Vercoe, Marilyn Pryde
Alice Tym, Beverley Vercoe
Ann Jones, Alison Madden
Alison Mcmillan, Betty Stove
Corinne Molesworth, Karin Boshoff
Peaches Bartkowicz, Elviry Dry
Valerie Ziegenfuss, Gillian Dove
Brenda Kirk, Lynn Mcdonald
Kristy Pigeon, Celeste Behrmann
Helen Gourlay, Lyn Montgomery
Fiona Morris, Daphne Pattison
Patricia Walkden, Judith Salome
Ann Jones, Laura Rossouw
Greta Delport, Alison Mcmillan
Marianna Brummer, Denise Carter
Corinne Molesworth, Peaches Bartkowicz
Brenda Kirk, Valerie Ziegenfuss
Kristy Pigeon, Wendy Tomlinson
Helen Gourlay, Pamela Austin
Patricia Walkden, Fiona Morris
Ann Jones, Greta Delport
Marianna Brummer, Kristy Pigeon
Helen Gourlay, Corinne Molesworth
Patricia Walkden, Brenda Kirk
Ann Jones, Marianna Brummer
Patricia Walkden, Helen Gourlay
Patricia Walkden, Ann Jones
Margaret Court, R Mclelland
Margaret Court, Brenda Jenkins
Christina Sandberg, Karen Krantzcke
Winnie Shaw, Lesley Hunt
Kerry Reid, Anne Coleman
Margaret Court, Christina Sandberg
Kerry Reid, Winnie Shaw
Margaret Court, Kerry Reid
Elizabeth Allan, Susan Alexander
Patricia Edwards, Norma Marsh
Judy Tegart, Lita Liem
Evonne Goolagong, Elizabeth Allan
Wendy Gilchrist, L Kelisee
Jan Lehane, Patricia Edwards
Evonne Goolagong, Judy Tegart
Wendy Gilchrist, Jan Lehane
Evonne Goolagong, Wendy Gilchrist
Ilse Buding,  Wowes
Carmen Coronado, Margot Schultze
Carmen Coronado, Ilse Buding
Rena Abzhandadze, Aleksandra Ivanova
Robyn Legge, Shirley Collins
Alice Tym, Jill Fraser
Marilyn Pryde, Cecilie Fleming
Beverley Vercoe, Stephanie Bardsley
Robyn Legge, Alice Tym
Marilyn Pryde, Beverley Vercoe
Marilyn Pryde, Robyn Legge
Valerie Ziegenfuss, Pamela Austin
Judith Salome, Marianna Brummer
Peaches Bartkowicz, Betty Stove
Kristy Pigeon, Corinne Molesworth
Helen Gourlay, Alison Mcmillan
Denise Carter, Judith Salome
Valerie Ziegenfuss, Greta Delport
Ann Jones, Fiona Morris
Peaches Bartkowicz, Brenda Kirk
Helen Gourlay, Kristy Pigeon
Patricia Walkden, Denise Carter
Ann Jones, Valerie Ziegenfuss
Peaches Bartkowicz, Patricia Walkden
Ann Jones, Helen Gourlay
Ann Jones, Peaches Bartkowicz
Nina Tukhareli, Irena Skulj
Olga Morozova,  Samuelova
Yevgenia Izopaitis, Maria Kull
Anna Islanova, Anna Yeremeyeva
Marina Chuvirina, Zaiga Yansone
Olga Morozova, Yevgenia Izopaitis
Marina Chuvirina, Anna Islanova
Olga Morozova, Marina Chuvirina
Stephanie Defina, Sally Slater
Laurie Fleming, Silvana Urroz
Astrid Suurbeek, Bunny Austin
Chris Evert, Martha Cochrane
Stephanie Defina, Laurie Fleming
Chris Evert, Astrid Suurbeek
Chris Evert, Stephanie Defina
Alice Tym, Fay Lobb
Cecilie Fleming, Beverley Vercoe
Robyn Legge, Stephanie Bardsley
Alice Tym, Jill Fraser
Shirley Collins, Sue Blakely
Robyn Legge, Cecilie Fleming
Alice Tym, Shirley Collins
Alice Tym, Robyn Legge
Ann Jones, Heather Allen
Denise Carter, Shirley Huntingdon
Kristy Pigeon, Lynn Mcdonald
Pamela Austin, Betty Stove
Helen Gourlay, M Caletz
Valerie Ziegenfuss, Rowena Sanders
Corinne Molesworth, J Howard
Peaches Bartkowicz, Melanie Muller
Ann Jones, Gillian Dove
Denise Carter, Greta Delport
Kristy Pigeon, Pamela Austin
Helen Gourlay, Daphne Pattison
Valerie Ziegenfuss, Marianna Brummer
Corinne Molesworth, Brenda Kirk
Peaches Bartkowicz, Alison Madden
Ann Jones, Denise Carter
Helen Gourlay, Kristy Pigeon
Patricia Walkden, Valerie Ziegenfuss
Peaches Bartkowicz, Corinne Molesworth
Ann Jones, Helen Gourlay
Peaches Bartkowicz, Patricia Walkden
Ann Jones, Peaches Bartkowicz
Aleksandra Ivanova, Nina Tukhareli
Betty Pratt, Margaret Cooper
Stephanie Defina, Betty Pratt
Mona Guerrant, Kathy Blake
Stephanie Defina, Mona Guerrant
Virginia Wade, Renate Breuer
Ellen Grindvold, Katja Ebbinghaus
Birgitta Lindstrom, Almut Sturm
Vlasta Kodesova, Heidi Eisterlehner
Joyce Williams, C Jauss
Alena Palmeova West, Kora Schediwy
Eva Lundquist, Nell Truman
Helga Masthoff, Ingrid Bentzer
Virginia Wade, Ellen Grindvold
Vlasta Kodesova, Birgitta Lindstrom
Joyce Williams, Alena Palmeova West
Eva Lundquist, Helga Masthoff
Virginia Wade, Vlasta Kodesova
Joyce Williams, Eva Lundquist
Virginia Wade, Joyce Williams
Joyce Williams, Madeleine Pegel
Nell Truman, Kirsten Anden
Eva Lundquist, Isabelle Larsson
Margareta Strandberg, Birgitta Lindstrom
Joyce Williams, Ingrid Bentzer
Nell Truman, Eva Lundquist
Joyce Williams, Margareta Strandberg
Joyce Williams, Nell Truman
Nancy Ornstein, Kristien Shaw
Marita Redondo, Ruan Smith
Mary Struthers, Denise Bradshaw
Janet Newberry, Susan Riebel
Nancy Ornstein, Marita Redondo
Janet Newberry, Mary Struthers
Nancy Ornstein, Janet Newberry
Winnie Mccoy, Stephanie Grant
Anita Platte, Doreen Irish
Vicky Smouse, Marilyn Straw
Pam Teeguarden, Tina Mochizuki
Winnie Mccoy, Anita Platte
Pam Teeguarden, Vicky Smouse
Pam Teeguarden, Winnie Mccoy
Anna Yeremeyeva, Anna Islanova
Valentina Petrova, Rauza Islanova
Elena Granaturovna, Galina Baksheeva
Anna Yeremeyeva, Tiiu Kivi
Marina Chuvirina, Zaiga Yansone
Olga Morozova, Yekaterina Kryuchkova
Anna Yeremeyeva, Marina Chuvirina
Olga Morozova, Maria Kull
Olga Morozova, Anna Yeremeyeva
Pat Stewart, Gay Shaw
Louise Gonnerman, Jennifer Louis
Marilyn Aschner, Pat Stewart
Louise Gonnerman, Sylvia Hooks
Marilyn Aschner, Louise Gonnerman
Pamela Austin, Marilyn Greenwood
Odile De Roubin, M Paillet
Daniele Bouteleux, Anne Marie Larue
Nicole Hesse Cazaux, Janine Lieffrig
Gail Sherriff, Marion Proisy
Daniele Bouteleux, Odile De Roubin
Gail Sherriff, Nicole Hesse Cazaux
Gail Sherriff, Daniele Bouteleux
Evonne Goolagong, Frances Luff
Meryl Brent, Robyn Murphy
Evonne Goolagong, Patricia Edwards
Karen Krantzcke, Helen Amos
Evonne Goolagong, Meryl Brent
Karen Krantzcke, Patricia Coleman
Evonne Goolagong, Karen Krantzcke
Joyce Williams, Eugenia Birioukova
Yekaterina Kryuchkova, Marie Pinterova
Nell Truman, Zaiga Yansone
Helga Masthoff, Valentina Petrova
Tiiu Kivi, Lilia Karpova
Joyce Williams, Marina Kroschina
Rauza Islanova, Yekaterina Kryuchkova
Nell Truman, Anna Yeremeyeva
Marina Chuvirina, Yevgenia Izopaitis
Maria Kull, Eva Szabo
Olga Morozova, S Zinkiewicz
Helga Masthoff, Tiiu Kivi
Joyce Williams, Rauza Islanova
Nell Truman, Marina Chuvirina
Olga Morozova, Maria Kull
Helga Masthoff, Joyce Williams
Olga Morozova, Nell Truman
Helga Masthoff, Olga Morozova
Edith Winkens, Kerstin Seelbach
Lesley Hunt, Chris Matison
Odile De Roubin, Francoise Repoux
Christiane Spinoza, Sophie Prouvost
Daniele Bouteleux, Christiane Sarrazin
Gail Sherriff, Joan Wilshere
Odile De Roubin, Christiane Spinoza
Gail Sherriff, Daniele Bouteleux
Odile De Roubin, Gail Sherriff
Odette Jacob, Marion De Witte
Michele Gurdal, Anne Croonenbergs
Chantal Van Gheluwe, Odette Jacob
Monique Van Haver, Michele Gurdal
Monique Van Haver, Chantal Van Gheluwe
Renata Tomanova, Jitka Horcickova
Renata Tomanova, Blanka Politzerova
Lenka Kodesova, Miroslava Kozeluhova
Lenka Kodesova, Renata Tomanova
Jill Cooper, Marilyn Greenwood
Veronica Burton, Corinne Molesworth
Jill Cooper, Veronica Burton
