Stan Smith, Vijay Amritraj
Carlos Kirmayr, Peter Mcnamara
Peter Feigl, Stan Smith
Peter Feigl, Carlos Kirmayr
Patrice Dominguez, Ilie Nastase
Brian Fairlie, Belus Prajoux
Willem Prinsloo, Bob Hewitt
Heinz Gunthardt, Brad Drewett
David Schneider, Peter Feigl
Rory Chappell, Patrick Proisy
Pascal Portes, Colin Dowdeswell
Deon Joubert, George Rudman
Peter Mcnamara, Jorge Andrew
Raymond Moore, Nick Badenhorst
Paul Mcnamee, Anthony Fawcett
Andrew Pattison, John Yuill
Carlos Kirmayr, Andre Zietsmann
Freddie Sauer, Hans Kary
Antonio Zugarelli, Frew Mcmillan
Jose Luis Clerc, Peter Elter
Patrice Dominguez, Brian Fairlie
Heinz Gunthardt, Willem Prinsloo
David Schneider, Rory Chappell
Deon Joubert, Pascal Portes
Peter Mcnamara, Raymond Moore
Andrew Pattison, Paul Mcnamee
Carlos Kirmayr, Freddie Sauer
Jose Luis Clerc, Antonio Zugarelli
Patrice Dominguez, Heinz Gunthardt
Deon Joubert, David Schneider
Peter Mcnamara, Andrew Pattison
Jose Luis Clerc, Carlos Kirmayr
Deon Joubert, Patrice Dominguez
Jose Luis Clerc, Peter Mcnamara
Jose Luis Clerc, Deon Joubert
Balazs Taroczy, Max Wunschig
Pavel Hutka, Ulrich Marten
Fernando Luna, Alejandro Pierola
Damir Keretic, Zeljko Franulovic
Patrice Dominguez, Hubertus Hoyt
Georges Goven, Peter Elter
Hans Jurgen Pohmann, Angel Gimenez
Carlos Kirmayr, Jorge Andrew
Harald Elschenbroich, Deon Joubert
Klaus Eberhard, Frantisek Pala
Leo Palin, Wolfgang Popp
Tomas Smid, Rick Fagel
Peter Mcnamara, Louk Sanders
Javier Soler, Rejean Genois
Billy Martin, Eric Deblicker
Ivan Lendl, Andreas Maurer
Balazs Taroczy, Pavel Hutka
Fernando Luna, Damir Keretic
Patrice Dominguez, Georges Goven
Carlos Kirmayr, Hans Jurgen Pohmann
Klaus Eberhard, Harald Elschenbroich
Tomas Smid, Leo Palin
Peter Mcnamara, Javier Soler
Ivan Lendl, Billy Martin
Balazs Taroczy, Fernando Luna
Patrice Dominguez, Carlos Kirmayr
Tomas Smid, Klaus Eberhard
Peter Mcnamara, Ivan Lendl
Patrice Dominguez, Balazs Taroczy
Peter Mcnamara, Tomas Smid
Peter Mcnamara, Patrice Dominguez
Peter Feigl, Welry Fritz
Sashi Menon, George Taylor
David Mustard, Bruce Kleege
Rod Frawley, Brian Fairlie
Bernard Mitton, Raymond Moore
Ramesh Krishnan, Onny Parun
Andrew Jarrett, Andy Kohlberg
Steve Docherty, John Bartlett
Richard Lewis, Russell Simpson
Larry Loeb, Jonathan Smith
Charlie Fancutt, Steven Harley
John Sadri, Leo Palin
Tim Wilkison, Peter Hampton
Jai Dilouie, Ismail El Shafei
Dale Collings, Simon Clarke
Kim Warwick, Brad Hibbert
Peter Feigl, Sashi Menon
Rod Frawley, David Mustard
Ramesh Krishnan, Bernard Mitton
Andrew Jarrett, Steve Docherty
Richard Lewis, Larry Loeb
Charlie Fancutt, John Sadri
Tim Wilkison, Jai Dilouie
Kim Warwick, Dale Collings
Peter Feigl, Rod Frawley
Andrew Jarrett, Ramesh Krishnan
Richard Lewis, Charlie Fancutt
Tim Wilkison, Kim Warwick
Peter Feigl, Andrew Jarrett
Tim Wilkison, Richard Lewis
Tim Wilkison, Peter Feigl
Guillermo Vilas, Belus Prajoux
Carlos Gattiker, Paul Kronk
Chris Lewis, Fernando Luna
Tomas Smid, Angel Gimenez
Eddie Dibbs, Ricardo Cano
Carlos Kirmayr, Rick Fagel
Balazs Taroczy, Pedro Rebolledo
Hans Gildemeister, Charles Owens
Jose Luis Clerc, Jairo Velasco
Rolf Gehring, Thomaz Koch
Terry Moor, Alejandro Gattiker
Peter Mcnamara, Victor Pecci
