Yevgeny Kafelnikov, Sjeng Schalken
Jarkko Nieminen, Radek Stepanek
Roger Federer, Stefan Koubek
Jarkko Nieminen, Yevgeny Kafelnikov
Roger Federer, Jarkko Nieminen
Raemon Sluiter, Adrian Voinea
Andre Sa, Gilles Elseneer
Dick Norman, Mardy Fish
Jan Michael Gambill, Thomas Enqvist
Todd Reid, Nicolas Mahut
Michel Kratochvil, Gregory Carraz
Mario Ancic, Julian Knowle
Alex Bogdanovic, Arvind Parmar
Antony Dupuis, Wayne Arthurs
Max Mirnyi, George Bastl
Cyril Saulnier, Scott Draper
Davide Sanguinetti, Alexander Waske
Todd Martin, Ricardo Mello
Cecil Mamiit, Olivier Mutis
Taylor Dent, Robert Kendrick
Greg Rusedski, Robby Ginepri
Hicham Arazi, Andrei Stoliarov
Rik De Voest, Petr Luxa
Ivo Karlovic, Justin Gimelstob
Marc Rosset, John Van Lottum
Jarkko Nieminen, Karol Beck
Richard Krajicek, Mark Philippoussis
Jan Vacek, Goran Ivanisevic
Peter Luczak, Vladimir Voltchkov
Lleyton Hewitt, Raemon Sluiter
Dick Norman, Andre Sa
Todd Reid, Jan Michael Gambill
Sebastien Grosjean, Michel Kratochvil
Mario Ancic, Paradorn Srichaphan
Antony Dupuis, Alex Bogdanovic
Cyril Saulnier, Max Mirnyi
Tim Henman, Davide Sanguinetti
Sjeng Schalken, Todd Martin
Taylor Dent, Cecil Mamiit
Greg Rusedski, Hicham Arazi
Andy Roddick, Rik De Voest
Xavier Malisse, Ivo Karlovic
Marc Rosset, Jarkko Nieminen
Richard Krajicek, Jan Vacek
Andre Agassi, Peter Luczak
Lleyton Hewitt, Dick Norman
Sebastien Grosjean, Todd Reid
Antony Dupuis, Mario Ancic
Tim Henman, Cyril Saulnier
Taylor Dent, Sjeng Schalken
Andy Roddick, Greg Rusedski
Xavier Malisse, Marc Rosset
Andre Agassi, Richard Krajicek
Sebastien Grosjean, Lleyton Hewitt
Tim Henman, Antony Dupuis
Andy Roddick, Taylor Dent
Andre Agassi, Xavier Malisse
Sebastien Grosjean, Tim Henman
Andy Roddick, Andre Agassi
Andy Roddick, Sebastien Grosjean
Roger Federer, Marc Lopez
Jean Rene Lisnard, Stan Wawrinka
David Sanchez, Karol Beck
Alex Corretja, John Van Lottum
Gaston Gaudio, Kristof Vliegen
Lars Burgsmuller, Zeljko Krajan
Stefan Koubek, Galo Blanco
Antony Dupuis, Nikolay Davydenko
Juan Ignacio Chela, Andre Sa
Feliciano Lopez, Irakli Labadze
Paul Henri Mathieu, Philipp Kohlschreiber
Jiri Novak, Sargis Sargsian
Radek Stepanek, Hugo Armando
Michel Kratochvil, Tomas Behrend
Christophe Rochus, Michael Lammer
Rainer Schuettler, Wayne Arthurs
Roger Federer, Jean Rene Lisnard
David Sanchez, Alex Corretja
Gaston Gaudio, Lars Burgsmuller
Stefan Koubek, Antony Dupuis
Juan Ignacio Chela, Feliciano Lopez
Jiri Novak, Paul Henri Mathieu
Radek Stepanek, Michel Kratochvil
Rainer Schuettler, Christophe Rochus
Roger Federer, David Sanchez
Gaston Gaudio, Stefan Koubek
Jiri Novak, Juan Ignacio Chela
Radek Stepanek, Rainer Schuettler
Roger Federer, Gaston Gaudio
Jiri Novak, Radek Stepanek
Jiri Novak, Roger Federer
Gregory Carraz, James Blake
Chris Guccione, Stefano Pescosolido
Zack Fleishman, Joachim Johansson
Justin Gimelstob, Jeff Morrison
Robby Ginepri, Prakash Amritraj
Dennis Van Scheppingen, Alexander Waske
Andrei Stoliarov, Robert Kendrick
Ivan Miranda, Brian Vahaly
Scott Draper, Raemon Sluiter
Cyril Saulnier, Ivo Heuberger
Bob Bryan, Dustin Brown
Dusan Vemic, Mardy Fish
Jurgen Melzer, Nicolas Thomann
Julian Knowle, Cecil Mamiit
Alex Kim, Thomas Shimada
Jeff Salzenstein, George Bastl
Gregory Carraz, Chris Guccione
Justin Gimelstob, Zack Fleishman
Robby Ginepri, Dennis Van Scheppingen
Ivan Miranda, Andrei Stoliarov
Cyril Saulnier, Scott Draper
Bob Bryan, Dusan Vemic
Jurgen Melzer, Julian Knowle
Jeff Salzenstein, Alex Kim
Gregory Carraz, Justin Gimelstob
Robby Ginepri, Ivan Miranda
Bob Bryan, Cyril Saulnier
Jurgen Melzer, Jeff Salzenstein
Robby Ginepri, Gregory Carraz
Jurgen Melzer, Bob Bryan
Robby Ginepri, Jurgen Melzer
Carlos Moya, Dominik Hrbaty
Robin Soderling, Markus Hipfl
Jonas Bjorkman, Mariano Puerta
David Ferrer, Fernando Vicente
Mikhail Youzhny, Olivier Rochus
Franco Squillari, Ladislav Svarc
Bjorn Rehnquist, Henrik Andersson
Mariano Zabaleta, Nicolas Massu
Nicolas Lapentti, Luis Horna
Adrian Voinea, Filip Prpic
Albert Portas, Rogier Wassen
Rafael Nadal, Younes El Aynaoui
Olivier Mutis, Alberto Martin
Filippo Volandri, Federico Browne
Hicham Arazi, Magnus Norman
Tommy Robredo, Marcus Sarstrand
Carlos Moya, Robin Soderling
Jonas Bjorkman, David Ferrer
Mikhail Youzhny, Franco Squillari
Mariano Zabaleta, Bjorn Rehnquist
Nicolas Lapentti, Adrian Voinea
Rafael Nadal, Albert Portas
Filippo Volandri, Olivier Mutis
Tommy Robredo, Hicham Arazi
Carlos Moya, Jonas Bjorkman
Mariano Zabaleta, Mikhail Youzhny
Nicolas Lapentti, Rafael Nadal
Tommy Robredo, Filippo Volandri
Mariano Zabaleta, Carlos Moya
Nicolas Lapentti, Tommy Robredo
Mariano Zabaleta, Nicolas Lapentti
Giorgio Galimberti, Martin Verkerk
Albert Montanes, Jurgen Melzer
Markus Hipfl, Adrian Voinea
John Van Lottum, Fernando Vicente
Juan Ignacio Chela, Mariano Puerta
Ruben Ramirez Hidalgo, Francisco Clavet
Stan Wawrinka, Hugo Armando
Raemon Sluiter, Alexander Waske
Nicolas Massu, Hicham Arazi
Andre Sa, Jaroslav Levinsky
Dennis Van Scheppingen, Irakli Labadze
Franco Squillari, Zeljko Krajan
Luis Horna, Albert Portas
Christophe Rochus, Kristof Vliegen
Oscar Hernandez, Fred Hemmes
Jean Rene Lisnard, Gaston Gaudio
Albert Montanes, Giorgio Galimberti
Markus Hipfl, John Van Lottum
Ruben Ramirez Hidalgo, Juan Ignacio Chela
Raemon Sluiter, Stan Wawrinka
Nicolas Massu, Andre Sa
Dennis Van Scheppingen, Franco Squillari
Luis Horna, Christophe Rochus
Oscar Hernandez, Jean Rene Lisnard
Albert Montanes, Markus Hipfl
Raemon Sluiter, Ruben Ramirez Hidalgo
Nicolas Massu, Dennis Van Scheppingen
Luis Horna, Oscar Hernandez
Raemon Sluiter, Albert Montanes
Nicolas Massu, Luis Horna
Nicolas Massu, Raemon Sluiter
Fernando Verdasco, Antony Dupuis
Gaston Etlis, Franco Squillari
Victor Hanescu, Markus Hipfl
Michel Kratochvil, Julien Boutter
Nicolas Massu, Stefan Koubek
Albert Portas, Bohdan Ulihrach
Alexander Peya, Galo Blanco
Nicolas Lapentti, Wayne Arthurs
Tomas Behrend, Oscar Hernandez
Werner Eschauer, Alexander Waske
Florin Mergea, Robin Vik
Paul Henri Mathieu, Ingo Neumuller
Frantisek Cermak, Jurgen Melzer
Luis Horna, Daniel Koellerer
Olivier Mutis, Andreas Seppi
Andreas Vinciguerra, Oliver Gross
Juan Carlos Ferrero, Fernando Verdasco
Flavio Saretta, Gaston Etlis
Mariano Zabaleta, Victor Hanescu
Younes El Aynaoui, Michel Kratochvil
Nicolas Massu, Albert Costa
Sargis Sargsian, Albert Portas
Nikolay Davydenko, Alexander Peya
Nicolas Lapentti, Mikhail Youzhny
Gaston Gaudio, Tomas Behrend
Werner Eschauer, Alex Corretja
Feliciano Lopez, Florin Mergea
Paul Henri Mathieu, Rainer Schuettler
Juan Ignacio Chela, Frantisek Cermak
Max Mirnyi, Luis Horna
Olivier Mutis, David Sanchez
Guillermo Coria, Andreas Vinciguerra
Juan Carlos Ferrero, Flavio Saretta
Mariano Zabaleta, Younes El Aynaoui
Nicolas Massu, Sargis Sargsian
Nicolas Lapentti, Nikolay Davydenko
Gaston Gaudio, Werner Eschauer
Feliciano Lopez, Paul Henri Mathieu
Juan Ignacio Chela, Max Mirnyi
Guillermo Coria, Olivier Mutis
Mariano Zabaleta, Juan Carlos Ferrero
Nicolas Massu, Nicolas Lapentti
Feliciano Lopez, Gaston Gaudio
Guillermo Coria, Juan Ignacio Chela
Nicolas Massu, Mariano Zabaleta
Guillermo Coria, Feliciano Lopez
Guillermo Coria, Nicolas Massu
Tomas Behrend, Julien Boutter
Marc Lopez, Potito Starace
Alberto Martin, Ramon Delgado
Rafael Nadal, Philipp Petzschner
Filippo Volandri, David Sanchez
Olivier Mutis, Renzo Furlan
Lars Burgsmuller, Magnus Norman
Jiri Vanek, Simon Greul
Feliciano Lopez, Ricardo Mello
Gaston Etlis, Alexander Popp
Olivier Rochus, Michel Kratochvil
Maximilian Abel, Antony Dupuis
Sargis Sargsian, Flavio Saretta
Nicolas Lapentti, Stefan Koubek
David Ferrer, Mariano Zabaleta
Paul Henri Mathieu, Tomas Zib
Tomas Behrend, Carlos Moya
Max Mirnyi, Marc Lopez
Jarkko Nieminen, Alberto Martin
Fernando Gonzalez, Rafael Nadal
Filippo Volandri, Sebastien Grosjean
Nikolay Davydenko, Olivier Mutis
Tommy Robredo, Lars Burgsmuller
Jiri Vanek, Albert Costa
Feliciano Lopez, Felix Mantilla
Younes El Aynaoui, Gaston Etlis
Alex Corretja, Olivier Rochus
Rainer Schuettler, Maximilian Abel
Jiri Novak, Sargis Sargsian
Mikhail Youzhny, Nicolas Lapentti
David Ferrer, Ivan Ljubicic
Guillermo Coria, Paul Henri Mathieu
Tomas Behrend, Max Mirnyi
Fernando Gonzalez, Jarkko Nieminen
Filippo Volandri, Nikolay Davydenko
Tommy Robredo, Jiri Vanek
Feliciano Lopez, Younes El Aynaoui
Rainer Schuettler, Alex Corretja
Mikhail Youzhny, Jiri Novak
Guillermo Coria, David Ferrer
Fernando Gonzalez, Tomas Behrend
Tommy Robredo, Filippo Volandri
Feliciano Lopez, Rainer Schuettler
Guillermo Coria, Mikhail Youzhny
Tommy Robredo, Fernando Gonzalez
Guillermo Coria, Feliciano Lopez
Guillermo Coria, Tommy Robredo
Nicolas Massu, Christophe Rochus
Jose Acasuso, Juan Giner
Tomas Behrend, Martin Vassallo Arguello
Albert Montanes, Ruben Ramirez Hidalgo
Oscar Hernandez, David Sanchez
Tomas Tenconi, Irakli Labadze
Mariano Puerta, Jurgen Melzer
Luis Horna, Andrei Pavel
Alberto Martin, David Ferrer
Galo Blanco, Kristof Vliegen
Franco Squillari, Alessio Di Mauro
Filippo Volandri, Francesco Aldi
Paul Henri Mathieu, Albert Portas
Nicolas Almagro, Alex Corretja
Victor Hanescu, Igor Andreev
Diego Veronelli, Nikolay Davydenko
Nicolas Massu, Jose Acasuso
Albert Montanes, Tomas Behrend
Oscar Hernandez, Tomas Tenconi
Luis Horna, Mariano Puerta
Alberto Martin, Galo Blanco
Franco Squillari, Filippo Volandri
Paul Henri Mathieu, Nicolas Almagro
Diego Veronelli, Victor Hanescu
Nicolas Massu, Albert Montanes
Luis Horna, Oscar Hernandez
Alberto Martin, Franco Squillari
Paul Henri Mathieu, Diego Veronelli
Nicolas Massu, Luis Horna
Paul Henri Mathieu, Alberto Martin
Nicolas Massu, Paul Henri Mathieu
Andy Roddick, Jean Claude Scherrer
Gilles Elseneer, Hyung Taik Lee
Olivier Rochus, Felix Mantilla
Tommy Robredo, Michel Kratochvil
David Nalbandian, Ruben Ramirez Hidalgo
Arnaud Clement, Paul Henri Mathieu
Tomas Zib, Stan Wawrinka
Tim Henman, Martin Verkerk
Jiri Novak, Arvind Parmar
Feliciano Lopez, Rafael Nadal
Michael Llodra, Bohdan Ulihrach
Guillermo Coria, Fabrice Santoro
Nicolas Lapentti, Ivo Heuberger
Tomas Behrend, James Blake
Ivan Ljubicic, Filippo Volandri
Roger Federer, Marc Rosset
Andy Roddick, Gilles Elseneer
Olivier Rochus, Tommy Robredo
David Nalbandian, Arnaud Clement
Tim Henman, Tomas Zib
Feliciano Lopez, Jiri Novak
Guillermo Coria, Michael Llodra
Nicolas Lapentti, Tomas Behrend
Ivan Ljubicic, Roger Federer
Andy Roddick, Olivier Rochus
David Nalbandian, Tim Henman
Guillermo Coria, Feliciano Lopez
Ivan Ljubicic, Nicolas Lapentti
David Nalbandian, Andy Roddick
Guillermo Coria, Ivan Ljubicic
Guillermo Coria, David Nalbandian
Satoshi Iwabuchi, Cecil Mamiit
Robert Kendrick, Wayne Arthurs
Scott Draper, Jan Vacek
Alex Bogomolov Jr, Ivo Heuberger
Bjorn Phau, Jeff Salzenstein
Cyril Saulnier, Justin Gimelstob
Tasuku Iwami, Werner Eschauer
Federico Browne, Takahiro Terachi
Fernando Verdasco, Glenn Weiner
Gouichi Motomura, Martin Vassallo Arguello
Takao Suzuki, Alexander Waske
Dick Norman, George Bastl
Bohdan Ulihrach, Ivan Miranda
Michel Kratochvil, Tomas Berdych
Dennis Van Scheppingen, Andreas Vinciguerra
Ivo Karlovic, Robin Soderling
Rainer Schuettler, Satoshi Iwabuchi
Robert Kendrick, Brian Vahaly
Scott Draper, Eric Taino
Nicolas Kiefer, Alex Bogomolov Jr
Jiri Novak, Bjorn Phau
Cyril Saulnier, Lars Burgsmuller
Mario Ancic, Tasuku Iwami
Mark Philippoussis, Federico Browne
Hyung Taik Lee, Fernando Verdasco
Kenneth Carlsen, Gouichi Motomura
Takao Suzuki, Wesley Moodie
Paradorn Srichaphan, Dick Norman
Jan Michael Gambill, Bohdan Ulihrach
Michel Kratochvil, John Van Lottum
Dennis Van Scheppingen, Gregory Carraz
Sebastien Grosjean, Ivo Karlovic
Rainer Schuettler, Robert Kendrick
Scott Draper, Nicolas Kiefer
Cyril Saulnier, Jiri Novak
Mark Philippoussis, Mario Ancic
Hyung Taik Lee, Kenneth Carlsen
Paradorn Srichaphan, Takao Suzuki
Jan Michael Gambill, Michel Kratochvil
Sebastien Grosjean, Dennis Van Scheppingen
Rainer Schuettler, Scott Draper
Cyril Saulnier, Mark Philippoussis
Paradorn Srichaphan, Hyung Taik Lee
Sebastien Grosjean, Jan Michael Gambill
Rainer Schuettler, Cyril Saulnier
Sebastien Grosjean, Paradorn Srichaphan
