Georges Goven, Ivan Molina
Wieslaw Gasiorek, Bob Carmichael
Victor Egorov, Patrick Hombergen
Jean Pierre Courcol, Gerald Battrick
Daniel Contet, Hans Jurgen Pohmann
Ernesto Aguirre, Jean Claude Barclay
Nicola Pietrangeli, Bob Howe
Manuel Orantes, Szabolcz Baranyi
Alex Metreveli, Michele Leclercq
Thomas Lejus, Daniel Contet
Paul Hutchins, Victor Egorov
Milan Holecek, Ernesto Aguirre
Georges Goven, Wieslaw Gasiorek
Jean Pierre Courcol, Teimuraz Kakulia
Nicola Pietrangeli, Jean Loup Rouyer
Sergei Likhachev, Manuel Orantes
Alex Metreveli, Jean Pierre Courcol
Thomas Lejus, Georges Goven
Milan Holecek, Sergei Likhachev
Nicola Pietrangeli, Paul Hutchins
Alex Metreveli, Milan Holecek
Nicola Pietrangeli, Thomas Lejus
Nicola Pietrangeli, Alex Metreveli
John Alexander, Hans Jurgen Pohmann
Mal Anderson, Bob Howe
Alex Kurucz, Isao Watanabe
Milan Holecek, Lothar Pawlik
Marty Riessen, Graydon Garner
Mathias Werren, Graham Stilwell
Jan Kukal, Lothar Lanz
Roger Taylor, Phil Dent
Harald Elschenbroich, Bob Giltinan
Jan Kodes, Onny Parun
Frew Mcmillan, Brian Fairlie
Koji Watanabe, Uwe Gottschalk
Bernd Kube, Jaime Subirats
Cliff Drysdale, Steve Tidball
Dick Crealy, Ismail El Shafei
Jurgen Fassbender, Lance Lumsden
John Newcombe, John Alexander
Mal Anderson, Barry Phillips Moore
Ingo Buding, Alex Kurucz
Marty Riessen, Milan Holecek
Pierre Barthes, Ray Ruffels
Tom Okker, Roy Barth
Istvan Gulyas, Mathias Werren
Nikola Pilic, Jan Kukal
Robert Maud, Roger Taylor
Harald Elschenbroich, Jan Kodes
Koji Watanabe, Frew Mcmillan
Wilhelm Bungert, Bernd Kube
Cliff Drysdale, Dick Crealy
Mark Cox, Jurgen Fassbender
Hans Joachim Ploetz, Allan Stone
Tony Roche, Gerald Battrick
John Newcombe, Mal Anderson
Marty Riessen, Ingo Buding
Pierre Barthes, Tom Okker
Nikola Pilic, Istvan Gulyas
Robert Maud, Harald Elschenbroich
Wilhelm Bungert, Koji Watanabe
Cliff Drysdale, Mark Cox
Tony Roche, Hans Joachim Ploetz
John Newcombe, Marty Riessen
Nikola Pilic, Pierre Barthes
Wilhelm Bungert, Robert Maud
Cliff Drysdale, Tony Roche
John Newcombe, Nikola Pilic
Cliff Drysdale, Wilhelm Bungert
John Newcombe, Cliff Drysdale
Ray Ruffels, Tadeusz Nowicki
Adriano Panatta, Al Pena
Phil Dent, Roberto Lombardi
Herb Fitzgibbon, Ingo Buding
Bob Hewitt, Sergio Palmieri
Alan Fox, Alfredo Acuna
Manuel Orantes, Patrice Beust
Brian Fairlie, Gianni Capozza
Jan Kodes, Onny Parun
Giuseppe Merlo, Ernst Blanke
Patricio Rodriguez Chi, Zeljko Franulovic
Jean Baptiste Chanfreau, Giorgio Bologna
Bill Bowrey, Peter Pokorny
Eugenio Castigliano, Raul Peralta
Roberto Saya, Bill Tym
Georges Goven, Paolo Bertolucci
Nicola Pietrangeli, Tomas Gonzalez
Gerald Battrick, Pancho Castillo
Gaetano Di Maso, Fernando Gentil
Jean Pierre Courcol, Nicola Spear
Juan Gisbert, Patricio Cornejo
Wieslaw Gasiorek, Thedy Stalder
Ezio Di Matteo, John McDonald
Jose Edison Mandarino, Allan Skelton
Massimo Di Domenico, Jose Luis Arillla
Giordano Majoli, Allan Stone
Nicholas Kalogeropoulos, Franco Bartoni
Marty Riessen, Guiliano Fanfani
John Alexander, Peter Szoke
Sergei Likhachev, Frank Tutvin
Piero Toci, Terry Addison
Ilie Nastase, Peter Curtis
Jaime Pinto Bravo, Daniel Contet
Geza Varga, Carlos Fernandes
Michael Hickey, Roberto Valerio
Tom Okker, Jimmy Moore
Barry Phillips Moore, Marco Gilardelli
Vittorio Crotta, Sever Dron
Bob Giltinan, Vincenzo Franchitti
Thomaz Koch, Eduardo Zuleta
Cliff Richey, Andras Szikszay
Raymond Moore, Sergio Tacchini
Alex Metreveli, Gary Kesl
Jan Kukal, Michele Pirro
Ion Tiriac, Frew Mcmillan
Dick Crealy, Bronislaw Lewandowski
Ray Ruffels, Adriano Panatta
Herb Fitzgibbon, Phil Dent
Bob Hewitt, Alan Fox
Manuel Orantes, Brian Fairlie
Jan Kodes, Giuseppe Merlo
Patricio Rodriguez Chi, Jean Baptiste Chanfreau
Eugenio Castigliano, Bill Bowrey
Georges Goven, Roberto Saya
Nicola Pietrangeli, Gerald Battrick
Gaetano Di Maso, Jean Pierre Courcol
Juan Gisbert, Wieslaw Gasiorek
Ezio Di Matteo, Jose Edison Mandarino
Massimo Di Domenico, Giordano Majoli
Marty Riessen, Nicholas Kalogeropoulos
John Alexander, Sergei Likhachev
Ilie Nastase, Piero Toci
Jaime Pinto Bravo, Geza Varga
Tom Okker, Michael Hickey
Barry Phillips Moore, Vittorio Crotta
Thomaz Koch, Bob Giltinan
Milan Holecek, Vladimir Korotkov
Mark Cox, Francesco Giordano
Robert Maud, Ciccio Gorla
Boro Jovanovic, Richard Hawkes
Harald Elschenbroich, Ray Keldie
Martin Mulligan, John Barrett
Cliff Richey, Raymond Moore
Alex Metreveli, Jan Kukal
Ion Tiriac, Dick Crealy
Ray Ruffels, Herb Fitzgibbon
Bob Hewitt, Manuel Orantes
Jan Kodes, Patricio Rodriguez Chi
Eugenio Castigliano, Georges Goven
Nicola Pietrangeli, Gaetano Di Maso
Juan Gisbert, Ezio Di Matteo
Marty Riessen, Massimo Di Domenico
Ilie Nastase, John Alexander
Tom Okker, Jaime Pinto Bravo
Barry Phillips Moore, Thomaz Koch
Milan Holecek, Mark Cox
Boro Jovanovic, Robert Maud
Martin Mulligan, Harald Elschenbroich
Alex Metreveli, Cliff Richey
Ion Tiriac, Ray Ruffels
Bob Hewitt, Jan Kodes
Nicola Pietrangeli, Eugenio Castigliano
Juan Gisbert, Marty Riessen
Tom Okker, Ilie Nastase
Barry Phillips Moore, Milan Holecek
Martin Mulligan, Boro Jovanovic
Alex Metreveli, Ion Tiriac
Bob Hewitt, Nicola Pietrangeli
Tom Okker, Juan Gisbert
