Emmanuelle Derly, Regina Marsikova
Catarina Lindqvist Ryan, Gretchen Magers
Lea Antonoplis, Carol Christian
Sarah Loosemore, Nicole Jagerman
Pam Shriver, Rachel Mcquillan
Helena Sukova, Julie Richardson
Heather Ludloff, Karine Quentrec
Lisa Oneill, Iwona Kuczynska
Eva Krapl, Ann Henricksson
Pilar Vasquez, Hellas Ter Riet
Catherine Tanvier, Leigh Anne Eldredge
Ann Grossman, Sabine Krein Auer
Mary Joe Fernandez, Terry Phelps
Hana Mandlikova, Clare Wood
Eva Pfaff, Sybille Niox Chateau
Katrina Adams, Wiltrud Probst
Manon Bollegraf, Julie Halard Decugis
Jana Novotna, Jeri Ingram
Carrie Cunningham, Dianne Fromholtz
Jenny Byrne, Simone Schilder
Martina Navratilova, Andrea Betzner
Steffi Graf, Rene Simpson
Marianne Werdel Witmeyer, Akemi Nishiya
Amy Frazier, Alexia Dechaume Balleret
Nicole Bradtke, Jill Hetherington
Nathalie Guerree Spitzer, Yukie Koizumi
Donna Faber, Claudia Porwik
Andrea Farley, Petra Langrova
Claudia Kohde Kilsch, Maria Christine Damas
Gabriela Sabatini, Conchita Martinez
Camille Benjamin, Dianne Van Rensburg
Jo Durie, Nathalie Herreman
Raffaella Reggi Concato, Christina Singer
Elise Burgin, Louise Field
Cammy Macgregor, Rennae Stubbs
Kimberly Kessaris, Maria Strandlund Tomsvik
Zina Garrison, Sandra Wasserman
Belinda Cordwell, Beverly Bowes
Andrea Temesvari, Kathrin Keil
Michelle Jaggard Lai, Federica Bonsignori
Brenda Schultz Mccarthy, Anne Minter
Ronni Reis, Patty Fendick
Judith Wiesner, Emmanuelle Derly
Catarina Lindqvist Ryan, Lea Antonoplis
Pam Shriver, Sarah Loosemore
Helena Sukova, Heather Ludloff
Lisa Oneill, Eva Krapl
Catherine Tanvier, Pilar Vasquez
Mary Joe Fernandez, Ann Grossman
Hana Mandlikova, Eva Pfaff
Manon Bollegraf, Katrina Adams
Jana Novotna, Carrie Cunningham
Martina Navratilova, Jenny Byrne
Steffi Graf, Marianne Werdel Witmeyer
Nicole Bradtke, Amy Frazier
Donna Faber, Nathalie Guerree Spitzer
Claudia Kohde Kilsch, Andrea Farley
Gabriela Sabatini, Camille Benjamin
Raffaella Reggi Concato, Jo Durie
Cammy Macgregor, Elise Burgin
Zina Garrison, Kimberly Kessaris
Belinda Cordwell, Andrea Temesvari
Brenda Schultz Mccarthy, Michelle Jaggard Lai
Judith Wiesner, Ronni Reis
Catarina Lindqvist Ryan, Pam Shriver
Helena Sukova, Lisa Oneill
Catherine Tanvier, Mary Joe Fernandez
Hana Mandlikova, Manon Bollegraf
Martina Navratilova, Jana Novotna
Steffi Graf, Nicole Bradtke
Claudia Kohde Kilsch, Donna Faber
Gabriela Sabatini, Raffaella Reggi Concato
Zina Garrison, Cammy Macgregor
Belinda Cordwell, Brenda Schultz Mccarthy
Catarina Lindqvist Ryan, Judith Wiesner
Helena Sukova, Catherine Tanvier
Martina Navratilova, Hana Mandlikova
Steffi Graf, Claudia Kohde Kilsch
Gabriela Sabatini, Zina Garrison
Belinda Cordwell, Catarina Lindqvist Ryan
Helena Sukova, Martina Navratilova
Steffi Graf, Gabriela Sabatini
Helena Sukova, Belinda Cordwell
Steffi Graf, Helena Sukova
Steffi Graf, Camille Benjamin
Bettina Fulco, Petra Schwarz
Nicole Jagerman, Tine Scheuer Larsen
Michelle Jaggard Lai, Amy Frazier
Silvia La Fratta, Gigi Fernandez
Elna Reinach, Karen Schimper
Silke Meier, Iwona Kuczynska
Andrea Vieira, Hana Mandlikova
