Anne Minter, Catarina Lindqvist Ryan
Jo Durie, Anne White
Pascale Paradis Mangon, Beth Herr
Myriam Schropp, Catherine Tanvier
Chris Evert, Kim Jones
Martina Navratilova, Mary Lou Piatek
Kathy Rinaldi Stunkel, Rosalyn Fairbank
Barbara Potter, Jenny Byrne
Andrea Temesvari, Virginia Wade
Pam Shriver, Corinne Vanier
Elizabeth Minter, Andrea Leand
Helena Sukova, Dianne Fromholtz
Claudia Kohde Kilsch, Bettina Bunge
Sharon Walsh Pete, Gigi Fernandez
Marcella Mesker, Sylvia Hanika
Steffi Graf, Lea Antonoplis
Wendy Turnbull, Iva Budarova
Sophie Amiach, Beverly Mould
Christiane Jolissaint, Anne Minter
Pascale Paradis Mangon, Jo Durie
Chris Evert, Myriam Schropp
Martina Navratilova, Kathy Rinaldi Stunkel
Barbara Potter, Andrea Temesvari
Pam Shriver, Elizabeth Minter
Helena Sukova, Claudia Kohde Kilsch
Sharon Walsh Pete, Marcella Mesker
Wendy Turnbull, Steffi Graf
Sophie Amiach, Christiane Jolissaint
Chris Evert, Pascale Paradis Mangon
Martina Navratilova, Barbara Potter
Helena Sukova, Pam Shriver
Wendy Turnbull, Sharon Walsh Pete
Chris Evert, Sophie Amiach
Helena Sukova, Martina Navratilova
Chris Evert, Wendy Turnbull
Chris Evert, Helena Sukova
Martina Navratilova, Nathalie Tauziat
Marcella Mesker, Katerina Bohmova
Catarina Lindqvist Ryan, Sabina Simmonds
Marie Christine Calleja, Susan Leo
Shelley Solomon, Patricia Hy Boulais
Steffi Graf, Emilse Raponi Longo
Sophie Amiach, Catherine Suire
Claudia Kohde Kilsch, Renata Sasak
Sylvia Hanika, Kate Latham
Pam Teeguarden, Felicia Raschiatore
Isabelle Demongeot, Amanda Tobin
Anne White, Federica Bonsignori
Kathy Rinaldi Stunkel, Ginny Purdy
Nathalie Herreman, Rene Mentz
Etsuko Inoue, Liz Smylie
Kathy Horvath, Nathalie Phan Thanh
Hana Mandlikova, Yvona Brzakova
Susan Mascarin, Lea Antonoplis
Lori Mcneil, Emiko Okagawa
Catherine Tanvier, Lucia Romanov
Natasha Reva, Sandra Cecchini
Elena Eliseenko, Betsy Nagelsen
Anne Hobbs, Rina Einy
Petra Keppeler, Ivanna Madruga
Michelle Torres, Helena Sukova
Rosalyn Fairbank, Sue Barker
Wendy White, Leslie Allen
Melissa Brown, Helene Cedet
Raffaella Reggi Concato, Barbi Bramblett
Joanne Russell, Grace Kim
Petra Delhees Jauch, Barbara Jordan
Zina Garrison, Pascale Paradis Mangon
Kathy Jordan, Anne Minter
Virginia Ruzici, Virginia Wade
Iva Budarova, Kim Sands
Tine Scheuer Larsen, Hana Fukarkova
Paula Smith, Beverly Mould
Amy Holton, Tina Mochizuki
Vicki Nelson, Sandy Collins
Lisa Bonder Kreiss, Corinne Vanier
Andrea Temesvari, Jennifer Mundel
Sabrina Goles, Terry Phelps
Rene Uys, Angelika Kanellopoulou
Bettina Bunge, Carina Karlsson
Marcela Skuherska, Christiane Jolissaint
