Steve Johnson, Kyle Edmund
Ivan Dodig, Joao Souza
Kei Nishikori, Nicolas Almagro
Tomas Berdych, Alejandro Falla
Jurgen Melzer, Victor Estrella
Viktor Troicki, Jiri Vesely
Leonardo Mayer, John Millman
Philipp Kohlschreiber, Paul Henri Mathieu
Bernard Tomic, Tobias Kamke
Sam Groth, Filip Krajinovic
Thanasi Kokkinakis, Ernests Gulbis
Kevin Anderson, Diego Schwartzman
Ricardas Berankis, Igor Sijsling
James Duckworth, Blaz Kavcic
Richard Gasquet, Carlos Berlocq
Lukas Rosol, Kenny De Schepper
Dudi Sela, Jan Lennard Struff
Tim Smyczek, Luke Saville
Rafael Nadal, Mikhail Youzhny
Andy Murray, Yuki Bhambri
Marinko Matosevic, Alexander Kudryavtsev
Joao Sousa, Jordan Thompson
Martin Klizan, Tatsuma Ito
David Goffin, Michael Russell
Marcos Baghdatis, Teymuraz Gabashvili
Lukas Lacko, Maximo Gonzalez
Grigor Dimitrov, Dustin Brown
Edouard Roger-Vasselin, Tommy Robredo
Malek Jaziri, Mikhail Kukushkin
Nick Kyrgios, Federico Delbonis
Ivo Karlovic, Ruben Bemelmans
Jeremy Chardy, Borna Coric
Andreas Seppi, Denis Istomin
Simone Bolelli, Juan Monaco
Roger Federer, Yen Hsun Lu
Novak Djokovic, Andrey Kuznetsov
Fernando Verdasco, Go Soeda
John Isner, Andreas Haider Maurer
Gilles Muller, Roberto Bautista Agut
Feliciano Lopez, Adrian Mannarino
Jerzy Janowicz, Gael Monfils
Benjamin Becker, Lleyton Hewitt
Milos Raonic, Donald Young
Stan Wawrinka, Marius Copil
Jarkko Nieminen, Matthias Bachinger
Vasek Pospisil, Paolo Lorenzi
Guillermo Garcia Lopez, Alejandro Gonzalez
David Ferrer, Sergiy Stakhovsky
Gilles Simon, Marcel Granollers
Steve Johnson, Santiago Giraldo
Kei Nishikori, Ivan Dodig
Tomas Berdych, Jurgen Melzer
Viktor Troicki, Leonardo Mayer
Bernard Tomic, Philipp Kohlschreiber
Sam Groth, Thanasi Kokkinakis
Kevin Anderson, Ricardas Berankis
Richard Gasquet, James Duckworth
Dudi Sela, Lukas Rosol
Rafael Nadal, Tim Smyczek
Andy Murray, Marinko Matosevic
Joao Sousa, Martin Klizan
Marcos Baghdatis, David Goffin
Grigor Dimitrov, Lukas Lacko
Malek Jaziri, Edouard Roger-Vasselin
Nick Kyrgios, Ivo Karlovic
Andreas Seppi, Jeremy Chardy
Roger Federer, Simone Bolelli
Novak Djokovic, Fernando Verdasco
Gilles Muller, John Isner
Feliciano Lopez, Jerzy Janowicz
Milos Raonic, Benjamin Becker
Stan Wawrinka, Jarkko Nieminen
Guillermo Garcia Lopez, Vasek Pospisil
David Ferrer, Gilles Simon
Kei Nishikori, Steve Johnson
Tomas Berdych, Viktor Troicki
Bernard Tomic, Sam Groth
Kevin Anderson, Richard Gasquet
Rafael Nadal, Dudi Sela
Andy Murray, Joao Sousa
Grigor Dimitrov, Marcos Baghdatis
Nick Kyrgios, Malek Jaziri
Andreas Seppi, Roger Federer
Novak Djokovic, Gilles Muller
Milos Raonic, Feliciano Lopez
Stan Wawrinka, Guillermo Garcia Lopez
Kei Nishikori, David Ferrer
Tomas Berdych, Bernard Tomic
Rafael Nadal, Kevin Anderson
Andy Murray, Grigor Dimitrov
Nick Kyrgios, Andreas Seppi
Novak Djokovic, Milos Raonic
Stan Wawrinka, Kei Nishikori
Tomas Berdych, Rafael Nadal
Andy Murray, Nick Kyrgios
Novak Djokovic, Stan Wawrinka
Andy Murray, Tomas Berdych
Novak Djokovic, Andy Murray
Kenny De Schepper, Marsel Ilhan
Steve Darcis, Tatsuma Ito
Jarkko Nieminen, Jan Lennard Struff
Lucas Pouille, Alexander Kudryavtsev
Dudi Sela, Jurgen Zopp
Denis Istomin, Malek Jaziri
Joao Sousa, Laurent Lokoli
Tobias Kamke, Vincent Millot
Paul Henri Mathieu, Taro Daniel
Jerzy Janowicz, Dustin Brown
Benoit Paire, Nikoloz Basilashvili
Edouard Roger-Vasselin, Andreas Beck
Gael Monfils, Kenny De Schepper
Steve Darcis, Jarkko Nieminen
Richard Gasquet, Lucas Pouille
Denis Istomin, Dudi Sela
Joao Sousa, Tobias Kamke
Philipp Kohlschreiber, Paul Henri Mathieu
Jerzy Janowicz, Benoit Paire
Gilles Simon, Edouard Roger-Vasselin
Gael Monfils, Steve Darcis
Richard Gasquet, Denis Istomin
Joao Sousa, Philipp Kohlschreiber
Jerzy Janowicz, Gilles Simon
Richard Gasquet, Gael Monfils
Jerzy Janowicz, Joao Sousa
