Glynis Coles, Fiorella Bonicelli
Renata Tomanova, Judy Chaloner
Margaret Court, Sally Greer
Natasha Chmyreva, Corinne Molesworth
Lesley Charles, Rowena Sanders
Greer Stevens, Laura Dupont
Martina Navratilova, Sue Mappin
Chris Evert, Kazuko Sawamatsu
Lindsey Beaven, Linda Mottram
Betty Stove, Sue Barker
Winnie Shaw, Peggy Michel
Billie Jean King, Julie Anthony
Michele Gurdal, Valerie Ziegenfuss
Olga Morozova, Kathy May
Mima Jausovec, Patricia Reese
Rosie Casals, Linky Boshoff
Virginia Wade, Janet Newberry
Jenny Dimond, Michelle Tyler
Evonne Goolagong, Ilana Kloss
Glynis Coles, Patti Hogan
Margaret Court, Renata Tomanova
Natasha Chmyreva, Lesley Charles
Martina Navratilova, Greer Stevens
Chris Evert, Lindsey Beaven
Betty Stove, Winnie Shaw
Billie Jean King, Michele Gurdal
Olga Morozova, Mima Jausovec
Virginia Wade, Rosie Casals
Evonne Goolagong, Jenny Dimond
Margaret Court, Glynis Coles
Martina Navratilova, Natasha Chmyreva
Chris Evert, Betty Stove
Billie Jean King, Olga Morozova
Evonne Goolagong, Virginia Wade
Margaret Court, Martina Navratilova
Billie Jean King, Chris Evert
Evonne Goolagong, Margaret Court
Billie Jean King, Evonne Goolagong
Chris Evert, Lesley Hunt
Natasha Chmyreva, Terry Holladay
Cynthia Doerner, Lesley Charles
Wendy Overton, Patti Hogan
Francoise Durr, Renata Tomanova
Kerry Reid, Michele Gurdal
Greer Stevens, Julie Anthony
Sue Barker, Sandy Stap
Martina Navratilova, Sue Mappin
Joanne Russell, Ilana Kloss
Donna Ganz, Sharon Walsh Pete
Kathy May, Laura Dupont
Margaret Court, Nathalie Fuchs
Betty Stove, Marita Redondo
Janet Newberry, Gail Sherriff
Dianne Fromholtz, Marcie Louie
Jeanne Evert, Glynis Coles
Linky Boshoff, Jenny Dimond
Kazuko Sawamatsu, Candy Reynolds
Julie Heldman, Sue Stap
Tine Zwaan, Brigette Cuypers
Valerie Ziegenfuss, Lindsey Beaven
Mona Guerrant, Nancy Richey
Evonne Goolagong, Peggy Michel
Helen Gourlay, Raquel Giscafre
Katja Ebbinghaus, Virginia Ruzici
Pam Teeguarden, Maria Teresa Nasuelli
Olga Morozova, Mima Jausovec
Beth Norton, Fiorella Bonicelli
Carrie Meyer, Isabel Fernandez De Soto
Marina Kroschina, Rosie Casals
Virginia Wade, Kate Latham
Chris Evert, Natasha Chmyreva
Wendy Overton, Cynthia Doerner
Kerry Reid, Francoise Durr
Greer Stevens, Sue Barker
Martina Navratilova, Joanne Russell
Kathy May, Donna Ganz
Margaret Court, Betty Stove
Janet Newberry, Dianne Fromholtz
Linky Boshoff, Jeanne Evert
Kazuko Sawamatsu, Julie Heldman
Valerie Ziegenfuss, Tine Zwaan
Evonne Goolagong, Mona Guerrant
Katja Ebbinghaus, Helen Gourlay
Pam Teeguarden, Olga Morozova
Beth Norton, Carrie Meyer
Virginia Wade, Marina Kroschina
Chris Evert, Wendy Overton
Kerry Reid, Greer Stevens
Martina Navratilova, Kathy May
Margaret Court, Janet Newberry
Kazuko Sawamatsu, Linky Boshoff
Evonne Goolagong, Valerie Ziegenfuss
Katja Ebbinghaus, Pam Teeguarden
Virginia Wade, Beth Norton
Chris Evert, Kerry Reid
Martina Navratilova, Margaret Court
Evonne Goolagong, Kazuko Sawamatsu
Virginia Wade, Katja Ebbinghaus
Chris Evert, Martina Navratilova
Evonne Goolagong, Virginia Wade
Chris Evert, Evonne Goolagong
Kazuko Sawamatsu, Sonja Pachta
Toshiko Sade, Veronika Buche
Rosalba Vido, Mariana Simionescu
Daniela Marzano, Florenta Mihai
Kazuko Sawamatsu, Michele Gurdal
Toshiko Sade, Monique Van Haver
Virginia Wade, Veronika Buche
Sue Barker, Sabine Bernegger
Virginia Wade, Gail Sherriff
Nathalie Fuchs, Sue Barker
Evonne Goolagong, Michele Gurdal
Helen Gourlay, Monique Van Haver
Martina Navratilova, Geraldine Barniville
Renata Tomanova, Helen Lennon
Mariana Simionescu, Flore Wagner
Florenta Mihai, Monique Krecke
Daniela Marzano, Cristina Ribeiro Britto
Rosalba Vido, Patricia Medrado
Kazuko Sawamatsu, Susan Stone
Jane Ohara, Toshiko Sade
Michele Gurdal, Anne Mette Sorensen
Monique Van Haver, Helle Sparre
Eva Szabo, Jane Ohara
Beatrix Klein, Andree Martin
Kazuko Sawamatsu, Ilana Kloss
Linky Boshoff, Toshiko Sade
Kazuko Sawamatsu, Eva Szabo
Beatrix Klein, Toshiko Sade
Eva Szabo, Lany Kaligis
Beatrix Klein, Lita Liem
Katja Ebbinghaus, Beatriz Araujo
Raquel Giscafre, Helga Masthoff
Evonne Goolagong, Julie Heldman
Kathy Kuykendall, Helen Gourlay
Eva Szabo, Judy Chaloner
Beatrix Klein, Pauline Elliott
Eva Szabo, Elly Appel
Nora Blom, Beatrix Klein
Renata Tomanova, Helen Gourlay
Martina Navratilova, Evonne Goolagong
Beatriz Araujo, Dora Alavantic
Raquel Giscafre, Mima Jausovec
Kazuko Sawamatsu, Lany Kaligis
Lita Liem, Toshiko Sade
Helena Anliot, Julie Heldman
Kathy Kuykendall, Ingrid Bentzer
Michele Gurdal, Virginia Ruzici
Monique Van Haver, Mariana Simionescu
Eva Szabo, Gail Sherriff
Nathalie Fuchs, Beatrix Klein
Gail Sherriff, Lubka Radkova
Nathalie Fuchs, Christina Sotirova
Martina Navratilova, Gail Sherriff
Renata Tomanova, Nathalie Fuchs
Katja Ebbinghaus, Renata Tomanova
Martina Navratilova, Helga Masthoff
Helen Gourlay, Daniela Marzano
Evonne Goolagong, Rosalba Vido
Helga Masthoff, Anne Mette Sorensen
Katja Ebbinghaus, Helle Sparre
Paulina Peisachov, Michele Gurdal
Monique Van Haver, Janine Strauss
Fiorella Bonicelli, Marijke Jansen
Elly Appel, Carla Guarino De Galeazzi
