Jenny Walker, Chris Matison
Kerry Harris, Paulina Peisachov
Evonne Goolagong, Ilana Kloss
Janet Young, Annette Coe
Helga Masthoff, Joyce Williams
Raquel Giscafre, Valerie Ziegenfuss
Tine Zwaan, Glynis Coles
Chris Oneil, Rowena Sanders
Mona Guerrant, Nathalie Fuchs
Isabel Fernandez De Soto, Chris Matison
Chris Evert, Lesley Hunt
Billie Jean King, Francoise Durr
Lesley Charles, Christine Truman
Olga Morozova, Wendy Gilchrist
Karen Krantzcke, Winnie Shaw
Rosie Casals, Mima Jausovec
Linky Boshoff, Helen Gourlay
Virginia Wade, Betsy Nagelsen
Patti Hogan, Ann Kiyomura Hayashi
Tory Ann Fretz, Greer Stevens
Kerry Reid, Kazuko Sawamatsu
Kristien Shaw, Fiorella Bonicelli
Evonne Goolagong, Kerry Harris
Helga Masthoff, Janet Young
Raquel Giscafre, Tine Zwaan
Mona Guerrant, Chris Oneil
Chris Evert, Isabel Fernandez De Soto
Billie Jean King, Lesley Charles
Olga Morozova, Karen Krantzcke
Linky Boshoff, Rosie Casals
Virginia Wade, Patti Hogan
Kerry Reid, Tory Ann Fretz
Evonne Goolagong, Kristien Shaw
Helga Masthoff, Raquel Giscafre
Chris Evert, Mona Guerrant
Olga Morozova, Billie Jean King
Virginia Wade, Linky Boshoff
Kerry Reid, Evonne Goolagong
Chris Evert, Helga Masthoff
Olga Morozova, Virginia Wade
Chris Evert, Kerry Reid
Chris Evert, Olga Morozova
Billie Jean King, Isabel Fernandez De Soto
Sharon Walsh Pete, Robin Tenney
Betsy Nagelsen, Marie Pinterova
Pam Teeguarden, Wendy Overton
Rosie Casals, Barbara Downs
Ilana Kloss, Janet Newberry
Mariana Simionescu, Donna Ganz
Dianne Fromholtz, Laura Dupont
Martina Navratilova, Rayni Fox
Betty Stove, Nathalie Fuchs
Julie Heldman, Marcie Louie
Janet Young, Jackie Fayter
Virginia Wade, Mona Guerrant
Ann Kiyomura Hayashi, Peggy Michel
Trish Mcclenaughan, Virginia Ruzici
Nancy Richey, Chris Oneil
Paulina Peisachov, Lesley Charles
