Jenny Walker, Chris Matison
Karen Krantzcke, Janet Newberry
Olga Morozova, Ilana Kloss
Barbara Downs, Sally Greer
Julie Heldman, Laurie Fleming
Helga Masthoff, Mona Guerrant
Kazuko Sawamatsu, Isabel Fernandez De Soto
Helen Gourlay, Veronika Birioukova
Terry Holladay, Zenda Liess
Kerry Reid, Sue Stap
Donna Ganz, Sharon Walsh Pete
Betty Stove, Betsy Nagelsen
Jeanne Evert, Kerry Harris
Evonne Goolagong, Kathy Kuykendall
Chris Evert, Glynis Coles
Karen Krantzcke, Betty Ann Grubb
Olga Morozova, Barbara Downs
Helga Masthoff, Julie Heldman
Helen Gourlay, Kazuko Sawamatsu
Kerry Reid, Terry Holladay
Betty Stove, Donna Ganz
Evonne Goolagong, Jeanne Evert
Chris Evert, Karen Krantzcke
Helga Masthoff, Olga Morozova
Kerry Reid, Helen Gourlay
Evonne Goolagong, Betty Stove
Chris Evert, Helga Masthoff
Kerry Reid, Evonne Goolagong
Chris Evert, Kerry Reid
Billie Jean King, Dianne Fromholtz
Karen Krantzcke, Kerry Harris
Ilana Kloss, Mona Guerrant
Janet Newberry, Kristy Pigeon
Glynis Coles, Nancy Richey
Terry Holladay, Joy Schwikert
Virginia Wade, Valerie Ziegenfuss
Lesley Hunt, Pam Teeguarden
Kathy Kuykendall, Marcie Louie
Rosie Casals, Patricia Bostrom
Kazuko Sawamatsu, Francoise Durr
Kerry Reid, Betty Ann Grubb
Betty Stove, Kristien Shaw
Olga Morozova, Helga Masthoff
Helen Gourlay, Sally Greer
Evonne Goolagong, Sue Stap
Billie Jean King, Karen Krantzcke
Janet Newberry, Ilana Kloss
Glynis Coles, Terry Holladay
Virginia Wade, Lesley Hunt
Rosie Casals, Kathy Kuykendall
Kerry Reid, Kazuko Sawamatsu
Olga Morozova, Betty Stove
Helen Gourlay, Evonne Goolagong
Billie Jean King, Janet Newberry
Virginia Wade, Glynis Coles
Rosie Casals, Kerry Reid
Olga Morozova, Helen Gourlay
Billie Jean King, Virginia Wade
Olga Morozova, Rosie Casals
Rosie Casals, Virginia Wade
Olga Morozova, Billie Jean King
Chris Evert, Kerry Harris
Wendy Overton, Zenda Liess
Julie Heldman, Betty Ann Grubb
Betty Stove, Sue Stap
Virginia Wade, Ilana Kloss
Jeanne Evert, Laura Dupont
Rosie Casals, Kazuko Sawamatsu
Lesley Hunt, Marcie Louie
Laurie Fleming, Janet Newberry
Olga Morozova, Sharon Walsh Pete
Helen Gourlay, Donna Ganz
Evonne Goolagong, Dianne Fromholtz
Karen Krantzcke, Kristien Shaw
Francoise Durr, Valerie Ziegenfuss
Pam Teeguarden, Isabel Fernandez De Soto
Kerry Reid, Cecilia Martinez
Chris Evert, Wendy Overton
Betty Stove, Julie Heldman
Virginia Wade, Jeanne Evert
Rosie Casals, Lesley Hunt
Olga Morozova, Laurie Fleming
Evonne Goolagong, Helen Gourlay
Karen Krantzcke, Francoise Durr
Kerry Reid, Pam Teeguarden
Chris Evert, Betty Stove
Rosie Casals, Virginia Wade
Evonne Goolagong, Olga Morozova
Kerry Reid, Karen Krantzcke
Chris Evert, Rosie Casals
Kerry Reid, Evonne Goolagong
Chris Evert, Kerry Reid
Jackie Fayter, Sharon Walsh Pete
Pam Whytcross, Clare Colman
Annette Coe, Lindsay Blachford
Joy Schwikert, Rowena Sanders
Patricia Walkden, Christine Truman
Lindsey Beaven, Sue Mappin
Jenny Dimond, Susan Minford
Wendy Gilchrist, Judy Congdon
Carrie Meyer, Shirley Bloomer
Belinda Thompson, Daryl Gralka
Patti Hogan, Naoko Sato
Glynis Coles, Corinne Molesworth
Jenny Walker, Patricia Reese
Lois Raymond, Nathalie Fuchs
Chris Oneil, Di Riste
Dianne Fromholtz, Robin Tenney
Virginia Wade, Michele Gurdal
Paulina Peisachov, Mandy Morgan
Lesley Charles, Penny Moor
Winnie Shaw, Jill Schwikert
Jackie Fayter, Pam Whytcross
Annette Coe, Joy Schwikert
Lindsey Beaven, Patricia Walkden
Jenny Dimond, Wendy Gilchrist
Carrie Meyer, Belinda Thompson
Patti Hogan, Glynis Coles
Lois Raymond, Jenny Walker
Dianne Fromholtz, Chris Oneil
Sue Barker, Helle Sparre
Linky Boshoff, Patricia Coleman
Veronica Burton, Nancy Ornstein
Julie Heldman, Laurie Tenney
Virginia Wade, Paulina Peisachov
Winnie Shaw, Lesley Charles
Jackie Fayter, Annette Coe
Jenny Dimond, Lindsey Beaven
Carrie Meyer, Patti Hogan
Dianne Fromholtz, Lois Raymond
Sue Barker, Linky Boshoff
Julie Heldman, Veronica Burton
Virginia Wade, Winnie Shaw
Jackie Fayter, Jenny Dimond
Dianne Fromholtz, Carrie Meyer
Julie Heldman, Sue Barker
Virginia Wade, Jackie Fayter
Julie Heldman, Dianne Fromholtz
Virginia Wade, Julie Heldman
Helga Masthoff, Janet Haas
Kora Schediwy, Lita Liem
Raquel Giscafre, Karin Seltenreich
Marie Pinterova, Eva Szabo
Mima Jausovec, Sally Greer
Beatrix Klein, Almut Sturm
Katja Ebbinghaus, Nathalie Fuchs
Miroslava Kozeluhova, Marijke Jansen
Kayoko Fukuoka, Dagmar Stoltenberg
Helga Schultze, Susanne Korpas
Lany Kaligis, Betsy Nagelsen
Martina Navratilova, Alena Palmeova West
Heide Orth, Erzsebet Szell
Marijke Jansen, Edith Winkens
Renata Tomanova, Agnes Graczol
Kazuko Sawamatsu, Yvona Brzakova
Helga Masthoff, Kora Schediwy
Marie Pinterova, Raquel Giscafre
Mima Jausovec, Beatrix Klein
Katja Ebbinghaus, Miroslava Kozeluhova
Helga Schultze, Kayoko Fukuoka
Martina Navratilova, Lany Kaligis
Marijke Jansen, Heide Orth
Kazuko Sawamatsu, Renata Tomanova
Helga Masthoff, Marie Pinterova
Mima Jausovec, Katja Ebbinghaus
Martina Navratilova, Helga Schultze
Kazuko Sawamatsu, Marijke Jansen
Helga Masthoff, Mima Jausovec
Martina Navratilova, Kazuko Sawamatsu
Helga Masthoff, Martina Navratilova
Olga Morozova, Daphne Pattison
Glynis Coles, Marie Pinterova
Ann Kiyomura Hayashi, Sue Mappin
Sue Barker, Ana Maria Arias
Kazuko Sawamatsu, Michele Gurdal
Gail Sherriff, Lany Kaligis
Wendy Gilchrist, Lesley Charles
Linky Boshoff, Veronica Burton
Rowena Sanders, Betsy Nagelsen
Martina Navratilova, Kathy May
Marina Kroschina, Jackie Fayter
Sharon Walsh Pete, Christine Truman
Karen Krantzcke, Christina Sandberg
Jeanne Evert, Lindsay Blachford
Paulina Peisachov, Lindsey Beaven
Kate Latham, Kerry Reid
Chris Evert, Penny Moor
Mariana Simionescu, Ilana Kloss
Betty Stove, Janet Young
Lesley Hunt, Brigette Cuypers
Olga Morozova, Glynis Coles
Ann Kiyomura Hayashi, Sue Barker
Kazuko Sawamatsu, Gail Sherriff
Linky Boshoff, Wendy Gilchrist
Martina Navratilova, Rowena Sanders
Marina Kroschina, Sharon Walsh Pete
Karen Krantzcke, Jeanne Evert
Kate Latham, Paulina Peisachov
Corinne Molesworth, Kerry Harris
Dianne Fromholtz, Nathalie Fuchs
Helen Gourlay, Raquel Giscafre
Virginia Wade, Laurie Tenney
Jeanne Evert, Mariana Simionescu
Lesley Hunt, Betty Stove
Olga Morozova, Ann Kiyomura Hayashi
Kazuko Sawamatsu, Linky Boshoff
Martina Navratilova, Marina Kroschina
Kate Latham, Karen Krantzcke
Dianne Fromholtz, Corinne Molesworth
Virginia Wade, Helen Gourlay
Jeanne Evert, Lesley Hunt
Olga Morozova, Kazuko Sawamatsu
Martina Navratilova, Kate Latham
Virginia Wade, Dianne Fromholtz
Jeanne Evert, Olga Morozova
Virginia Wade, Martina Navratilova
Jeanne Evert, Virginia Wade
Patricia Reese, Kazuko Sawamatsu
Paulina Peisachov, Mary Struthers
Maria Teresa Nasuelli, Janet Haas
Carrie Meyer, Clare Colman
Michele Gurdal, Donna Ganz
Carrie Fleming, Anne Mette Sorensen
Ching Ling Chang, Susan Eastman
Ana Maria Arias, Susan Vinton
Sandy Stap, Patti Hogan
Jackie Fayter, Cynthia Doerner
Chris Oneil, Maricaye Christenson
Dianne Fromholtz, Jill Schwikert
Nathalie Fuchs, Robin Tenney
Lesley Charles, Shari Barman
Jeanne Evert, Nancy Ornstein
Chris Evert, Helle Sparre
Roberta Stark, Sue Mappin
Virginia Ruzici, Lindsey Beaven
Penny Moor, Jenny Walker
Patricia Reese, Paulina Peisachov
Carrie Meyer, Maria Teresa Nasuelli
Michele Gurdal, Carrie Fleming
Ching Ling Chang, Ana Maria Arias
Sandy Stap, Jackie Fayter
Dianne Fromholtz, Chris Oneil
Jeanne Evert, Daryl Gralka
Gail Sherriff, Laurie Tenney
Terry Holladay, Sally Greer
Lindsay Blachford, Susie Miner
Julie Heldman, Joy Schwikert
Chris Evert, Roberta Stark
Virginia Ruzici, Penny Moor
Carrie Meyer, Patricia Reese
Michele Gurdal, Ching Ling Chang
Dianne Fromholtz, Sandy Stap
Jeanne Evert, Nathalie Fuchs
Gail Sherriff, Terry Holladay
Julie Heldman, Lindsay Blachford
Chris Evert, Virginia Ruzici
Carrie Meyer, Michele Gurdal
Dianne Fromholtz, Jeanne Evert
Gail Sherriff, Julie Heldman
Chris Evert, Carrie Meyer
Gail Sherriff, Dianne Fromholtz
Chris Evert, Gail Sherriff
Chris Evert, Maria Teresa Nasuelli
Gail Sherriff, Susan Vinton
Laurie Tenney, Jan Lehane
Lindsey Beaven, Terry Holladay
Virginia Ruzici, Robin Tenney
Sue Mappin, Lesley Charles
Jackie Fayter, Andree Martin
Kazuko Sawamatsu, Laura Rossouw
Jeanne Evert, Patti Hogan
Susan Stone, Patricia Reese
Michele Gurdal, Janet Haas
Paulina Peisachov, Wendy Overton
Raquel Giscafre, Dianne Fromholtz
Jane Ohara, Maria Bueno
Nathalie Fuchs, Stephanie Bardsley
Julie Heldman, Donna Ganz
Chris Evert, Gail Sherriff
Laurie Tenney, Lindsey Beaven
Virginia Ruzici, Sue Mappin
Kazuko Sawamatsu, Jackie Fayter
Jeanne Evert, Susan Stone
Paulina Peisachov, Michele Gurdal
Raquel Giscafre, Jane Ohara
Julie Heldman, Nathalie Fuchs
Chris Evert, Laurie Tenney
Kazuko Sawamatsu, Virginia Ruzici
Jeanne Evert, Paulina Peisachov
Julie Heldman, Raquel Giscafre
Chris Evert, Kazuko Sawamatsu
Julie Heldman, Jeanne Evert
Chris Evert, Julie Heldman
Kristy Pigeon, Nathalie Fuchs
Michele Gurdal, Ginny Mahoney
Donna Ganz, Sue Stap
Jeanne Evert, Virginia Ruzici
Patricia Bostrom, Jenny Walker
Maria Teresa Nasuelli, Robin Tenney
Janet Newberry, Lindsey Beaven
Julie Heldman, Carrie Meyer
Raquel Giscafre, Patricia Reese
Clare Colman, Renata Tomanova
Sue Mappin, Helle Sparre
Martina Navratilova, Chris Oneil
Jackie Fayter, Naoko Sato
Mary Struthers, Maricaye Christenson
Lesley Charles, Lindsay Blachford
Mima Jausovec, Ching Ling Chang
Penny Moor, Susan Vinton
Ana Maria Arias, Shari Barman
Gail Sherriff, Laurie Tenney
Kate Latham, Anne Mette Sorensen
Cecilia Martinez, Mariana Simionescu
Janet Haas, Andrea Voikos
Virginia Wade, Carrie Fleming
Kazuko Sawamatsu, Regina Marsikova
Sally Greer, Joy Schwikert
Betsy Nagelsen, Nancy Ornstein
Sharon Walsh Pete, Daryl Gralka
Paulina Peisachov, Jill Schwikert
Marie Pinterova, Terry Holladay
Cynthia Doerner, Roberta Stark
Chris Evert, Kristy Pigeon
Donna Ganz, Michele Gurdal
Jeanne Evert, Patricia Bostrom
Janet Newberry, Maria Teresa Nasuelli
Julie Heldman, Raquel Giscafre
Sue Mappin, Clare Colman
Martina Navratilova, Jackie Fayter
Lesley Charles, Mary Struthers
Mima Jausovec, Penny Moor
Gail Sherriff, Ana Maria Arias
Kate Latham, Cecilia Martinez
Virginia Wade, Janet Haas
Kazuko Sawamatsu, Sally Greer
Betsy Nagelsen, Sharon Walsh Pete
Marie Pinterova, Paulina Peisachov
Olga Morozova, Cynthia Doerner
Chris Evert, Donna Ganz
Janet Newberry, Jeanne Evert
Julie Heldman, Sue Mappin
Lesley Charles, Martina Navratilova
Mima Jausovec, Gail Sherriff
Virginia Wade, Kate Latham
Betsy Nagelsen, Kazuko Sawamatsu
Olga Morozova, Marie Pinterova
Chris Evert, Janet Newberry
Julie Heldman, Lesley Charles
Virginia Wade, Mima Jausovec
Betsy Nagelsen, Olga Morozova
Chris Evert, Julie Heldman
Betsy Nagelsen, Virginia Wade
Julie Heldman, Virginia Wade
Chris Evert, Betsy Nagelsen
Billie Jean King, Ann Kiyomura Hayashi
Ingrid Bentzer, Wendy Overton
Marcie Louie, Robin Tenney
Ilana Kloss, Zenda Liess
Julie Heldman, Susan Vinton
Kathleen Harter, Elly Appel
Betty Stove, Terry Holladay
Tory Ann Fretz, Barbara Downs
Dianne Fromholtz, Laurie Tenney
Tine Zwaan, Jeanne Evert
Kathy Kuykendall, Sue Stap
Francoise Durr, Sally Greer
Martina Navratilova, Mona Guerrant
Laura Dupont, Donna Ganz
Janet Newberry, Betsy Nagelsen
Rosie Casals, Cecilia Martinez
Billie Jean King, Ingrid Bentzer
Marcie Louie, Ilana Kloss
Julie Heldman, Kathleen Harter
Betty Stove, Tory Ann Fretz
Tine Zwaan, Dianne Fromholtz
Francoise Durr, Kathy Kuykendall
Martina Navratilova, Laura Dupont
Rosie Casals, Janet Newberry
Billie Jean King, Marcie Louie
Julie Heldman, Betty Stove
Francoise Durr, Tine Zwaan
Martina Navratilova, Rosie Casals
Julie Heldman, Billie Jean King
Martina Navratilova, Francoise Durr
Billie Jean King, Francoise Durr
Martina Navratilova, Julie Heldman
Chris Evert, Kristy Pigeon
Kathleen Harter, Ingrid Bentzer
Valerie Ziegenfuss, Laura Dupont
Tory Ann Fretz, Sue Stap
Francoise Durr, Wendy Overton
Ilana Kloss, Denise Carter
Julie Heldman, Dianne Fromholtz
Susie Mehmedbasich, Barbara Downs
Martina Navratilova, Kristien Shaw
Pam Teeguarden, Betty Stove
Mona Guerrant, Stephanie Johnson
Evonne Goolagong, Kate Latham
Kathy Kuykendall, Tine Zwaan
Lesley Hunt, Cecilia Martinez
Marcie Louie, Laurie Tenney
Nancy Richey, Terry Holladay
Chris Evert, Kathleen Harter
Valerie Ziegenfuss, Tory Ann Fretz
Francoise Durr, Ilana Kloss
Julie Heldman, Susie Mehmedbasich
Pam Teeguarden, Martina Navratilova
Evonne Goolagong, Mona Guerrant
Kathy Kuykendall, Lesley Hunt
Nancy Richey, Marcie Louie
Chris Evert, Valerie Ziegenfuss
Francoise Durr, Julie Heldman
Evonne Goolagong, Pam Teeguarden
Nancy Richey, Kathy Kuykendall
Chris Evert, Francoise Durr
Evonne Goolagong, Nancy Richey
Francoise Durr, Nancy Richey
Evonne Goolagong, Chris Evert
Chris Evert, Susie Mehmedbasich
Carrie Meyer, Tory Ann Fretz
Kathy Kuykendall, Kristy Pigeon
Wendy Overton, Cecilia Martinez
Evonne Goolagong, Janet Newberry
Terry Holladay, Sue Stap
Helen Gourlay, Betty Ann Grubb
Raquel Giscafre, Kathleen Harter
Ilana Kloss, Ingrid Bentzer
Pam Teeguarden, Denise Carter
Kate Latham, Mona Guerrant
Dianne Fromholtz, Rosie Casals
Robin Tenney, Robin Harris
Marcie Louie, Donna Ganz
Isabel Fernandez De Soto, Barbara Downs
Virginia Wade, Helena Anliot
Chris Evert, Carrie Meyer
Wendy Overton, Kathy Kuykendall
Evonne Goolagong, Terry Holladay
Helen Gourlay, Raquel Giscafre
Pam Teeguarden, Ilana Kloss
Kate Latham, Dianne Fromholtz
Robin Tenney, Marcie Louie
Virginia Wade, Isabel Fernandez De Soto
Chris Evert, Wendy Overton
Evonne Goolagong, Helen Gourlay
Pam Teeguarden, Kate Latham
Virginia Wade, Robin Tenney
Chris Evert, Evonne Goolagong
Virginia Wade, Pam Teeguarden
Chris Evert, Virginia Wade
Billie Jean King, Patricia Bostrom
Kristy Pigeon, Terry Holladay
Tory Ann Fretz, Valerie Ziegenfuss
Betty Ann Grubb, Lindsay Morse
Virginia Wade, Carrie Meyer
Barbara Downs, Bunny Bruning
Francoise Durr, Kate Latham
Cecilia Martinez, Mary Mclean
Mona Guerrant, Helena Anliot
Helen Gourlay, Janet Newberry
Susie Mehmedbasich, Donna Ganz
Wendy Overton, Evonne Goolagong
Pam Teeguarden, Kristien Shaw
Betty Stove, Ilana Kloss
Betsy Nagelsen, Nancy Harter
Kathy Kuykendall, Nancy Richey
Billie Jean King, Kristy Pigeon
Tory Ann Fretz, Betty Ann Grubb
Virginia Wade, Barbara Downs
Francoise Durr, Cecilia Martinez
Helen Gourlay, Mona Guerrant
Wendy Overton, Susie Mehmedbasich
Betty Stove, Pam Teeguarden
Kathy Kuykendall, Betsy Nagelsen
Billie Jean King, Tory Ann Fretz
Virginia Wade, Francoise Durr
Helen Gourlay, Wendy Overton
Betty Stove, Kathy Kuykendall
Virginia Wade, Billie Jean King
Helen Gourlay, Betty Stove
Betty Stove, Billie Jean King
Virginia Wade, Helen Gourlay
Katja Ebbinghaus, Ai Lida
Ann Kiyomura Hayashi, Kiyomi Nakagawa
Isabel Fernandez De Soto, Tomoko Hirokawa
Kimiyo Yagawara, Jill Schwikert
Raquel Giscafre, Kiyoko Nomura
Maria Bueno, Toshiko Sade
Janet Young, Yoko Okada
Kazuko Sawamatsu, Joy Schwikert
Katja Ebbinghaus, Ann Kiyomura Hayashi
Isabel Fernandez De Soto, Kimiyo Yagawara
Maria Bueno, Raquel Giscafre
Kazuko Sawamatsu, Janet Young
Katja Ebbinghaus, Isabel Fernandez De Soto
Maria Bueno, Kazuko Sawamatsu
Maria Bueno, Katja Ebbinghaus
Chris Evert, Francoise Durr
Rosie Casals, Karen Krantzcke
Virginia Wade, Julie Heldman
Martina Navratilova, Kathy Kuykendall
Lesley Hunt, Marcie Louie
Evonne Goolagong, Valerie Ziegenfuss
Helen Gourlay, Pam Teeguarden
Billie Jean King, Betty Stove
Chris Evert, Rosie Casals
Virginia Wade, Martina Navratilova
Evonne Goolagong, Lesley Hunt
Billie Jean King, Helen Gourlay
Chris Evert, Virginia Wade
Evonne Goolagong, Billie Jean King
Evonne Goolagong, Chris Evert
Wendy Overton, Karen Krantzcke
Karen Krantzcke, Katja Ebbinghaus
Katja Ebbinghaus, Peggy Michel
Kazuko Sawamatsu, Helen Gourlay
Valerie Ziegenfuss, Betty Ann Grubb
Helen Gourlay, Betty Ann Grubb
Kazuko Sawamatsu, Wendy Overton
Julie Heldman, Lindsey Beaven
Sue Barker, Mima Jausovec
Sue Mappin, Raquel Giscafre
Nathalie Fuchs, Tine Zwaan
Linda Mottram, Betsy Nagelsen
Janet Newberry, Belinda Thompson
Virginia Ruzici, Sharon Walsh Pete
Glynis Coles, Annette Coe
Julie Heldman, Sue Barker
Nathalie Fuchs, Sue Mappin
Janet Newberry, Linda Mottram
Glynis Coles, Virginia Ruzici
Julie Heldman, Nathalie Fuchs
Glynis Coles, Janet Newberry
Julie Heldman, Glynis Coles
Virginia Wade, Betsy Nagelsen
Sue Barker, Jackie Fayter
Joyce Williams, Janet Newberry
Mima Jausovec, Lesley Charles
Isabel Fernandez De Soto, Nathalie Fuchs
Raquel Giscafre, Glynis Coles
Sue Mappin, Tine Zwaan
Julie Heldman, Virginia Ruzici
Virginia Wade, Sue Barker
Mima Jausovec, Joyce Williams
Isabel Fernandez De Soto, Raquel Giscafre
Julie Heldman, Sue Mappin
Virginia Wade, Mima Jausovec
Julie Heldman, Isabel Fernandez De Soto
Virginia Wade, Julie Heldman
Janet Newberry, Virginia Ruzici
Mima Jausovec, Isabel Fernandez De Soto
Sue Mappin, Glynis Coles
Nathalie Fuchs, Raquel Giscafre
Virginia Wade, Joyce Williams
Mima Jausovec, Janet Newberry
Nathalie Fuchs, Sue Mappin
Julie Heldman, Sue Barker
Virginia Wade, Mima Jausovec
Julie Heldman, Nathalie Fuchs
Virginia Wade, Julie Heldman
Margaret Court, Terisa Viljoen
Rosamba Niciforovic, A Croucamp
Brenda Kirk, Sabina Simmonds
Annette Van Zyl, Marise Kruger
Ilana Kloss, Sannie Gouws
Nicky Kruger, E Schroder
Marianna Brummer, W Moore
Dianne Fromholtz, Alana Bakos
Nancy Richey, Karin Boshoff
Helen Liebenberg, Yvonne Vermaak
Brigette Cuypers, Daphne Pattison
Maria Bueno, Tanya Harford
Sharon Walsh Pete, Gwynn Sammel
Nathalie Fuchs, Wilma Smit
Mynie Van Zyl, Leta Welthagen
Kerry Reid, Pam Kruger
Margaret Court, Rosamba Niciforovic
Annette Van Zyl,  Dimitriu
Ilana Kloss, Nicky Kruger
Dianne Fromholtz, Marianna Brummer
Nancy Richey, Helen Liebenberg
Maria Bueno, Brigette Cuypers
Nathalie Fuchs, Sharon Walsh Pete
Kerry Reid, Mynie Van Zyl
Margaret Court, Annette Van Zyl
Dianne Fromholtz, Ilana Kloss
Nancy Richey, Maria Bueno
Kerry Reid, Nathalie Fuchs
Dianne Fromholtz, Margaret Court
Kerry Reid, Nancy Richey
Kerry Reid, Dianne Fromholtz
Evonne Goolagong, Kiyoko Nomura
Natasha Chmyreva, Dianne Evers
Cecilia Martinez, Gail Williams
Peggy Michel, Kym Ruddell
Dianne Fromholtz, L Bell
Michele Gurdal, Vivicca Andersson
Glynis Coles, Mandy Morgan
Laura Dupont, Sally Greer
Sue Barker, Mona Guerrant
Dianne Berkinshaw, J Cary
Monique Van Haver, Jan Morton
Kazuko Sawamatsu, G Maxwell
Sue Mappin, Helena Anliot
Kaye Hallam, Frederique Thibault
Lesley Charles, Kerry Walker
Olga Morozova, Jenny Walker
Evonne Goolagong, Natasha Chmyreva
Peggy Michel, Cecilia Martinez
Dianne Fromholtz, Michele Gurdal
Laura Dupont, Glynis Coles
Sue Barker, Dianne Berkinshaw
Kazuko Sawamatsu, Monique Van Haver
Sue Mappin, Kaye Hallam
Olga Morozova, Lesley Charles
Evonne Goolagong, Peggy Michel
Dianne Fromholtz, Laura Dupont
Kazuko Sawamatsu, Sue Barker
Olga Morozova, Sue Mappin
Evonne Goolagong, Dianne Fromholtz
Olga Morozova, Kazuko Sawamatsu
Olga Morozova, Evonne Goolagong
Linda Mottram, T Pauley
Belinda Thompson, Kerry Harris
Olga Morozova, Sarah Taylor
Glynis Coles, Paula Smith
Sue Mappin, Mary Sawyer
Vicki Lancaster Kerr, Deborah Fiuza
Laura Dupont, Leanne Harrison Austin
Jan Wilton, J Stephens
L De Crop, Aleida Spex
Cecilia Martinez, M Davey
Monique Van Haver, Bernadette Heavey
Sue Barker, P Howard
Chris Matison, Janet Young
Frederique Thibault, L Alisop
Evonne Goolagong, Dianne Evers
Sally Greer, Kaye Hallam
Linda Mottram, Belinda Thompson
Martina Navratilova, Lesley Charles
Olga Morozova, Michele Gurdal
Glynis Coles, Sue Mappin
Laura Dupont, Vicki Lancaster Kerr
Lesley Hunt, Jan Wilton
Dianne Fromholtz, L De Crop
Cecilia Martinez, Monique Van Haver
Sue Barker, Chris Matison
Margaret Court, Frederique Thibault
Mona Guerrant, Michelle Pekovitch
Kerry Reid, J Hall
Evonne Goolagong, Sally Greer
Martina Navratilova, Linda Mottram
Olga Morozova, Glynis Coles
Lesley Hunt, Laura Dupont
Dianne Fromholtz, Cecilia Martinez
Margaret Court, Sue Barker
Kazuko Sawamatsu, Mona Guerrant
Kerry Reid, Peggy Michel
Evonne Goolagong, Martina Navratilova
Olga Morozova, Lesley Hunt
Margaret Court, Dianne Fromholtz
Kerry Reid, Kazuko Sawamatsu
Olga Morozova, Evonne Goolagong
Margaret Court, Kerry Reid
Margaret Court, Olga Morozova
Michele Gurdal, Jenny Walker
Sally Greer, Sally Irvine
Cynthia Doerner, Deborah Fiuza
Mona Guerrant, Jan Lehane
Pam Whytcross, Monique Van Haver
Belinda Thompson, Helen Kayser
Cecilia Martinez, Vicki Lancaster Kerr
Jan Wilton, Vivicca Andersson
Lesley Charles, Chris Matison
Kym Ruddell, Sue Hole
Frances Luff, Frederique Thibault
Chris Oneil, Daphne Fancutt
Kaye Hallam, Gai Healey
Wendy Turnbull, Kerry Walker
Jenny Dimond, Julie Hanrahan
Sue Mappin, Lois Raymond
Evonne Goolagong, Michele Gurdal
Sally Greer, Helena Anliot
Kerry Harris, Cynthia Doerner
Mona Guerrant, Martina Navratilova
Olga Morozova, Pam Whytcross
Lesley Turner, Belinda Thompson
Cecilia Martinez, Peggy Michel
Helen Gourlay, Jan Wilton
Dianne Fromholtz, Lesley Charles
Linda Mottram, Kym Ruddell
Laura Dupont, Frances Luff
Margaret Court, Chris Oneil
Kazuko Sawamatsu, Kaye Hallam
Sue Barker, Wendy Turnbull
Jenny Dimond, Glynis Coles
Kerry Reid, Sue Mappin
Evonne Goolagong, Sally Greer
Kerry Harris, Mona Guerrant
Olga Morozova, Lesley Turner
Helen Gourlay, Cecilia Martinez
Dianne Fromholtz, Linda Mottram
Margaret Court, Laura Dupont
Kazuko Sawamatsu, Sue Barker
Kerry Reid, Jenny Dimond
Evonne Goolagong, Kerry Harris
Olga Morozova, Helen Gourlay
Margaret Court, Dianne Fromholtz
Kerry Reid, Kazuko Sawamatsu
Evonne Goolagong, Olga Morozova
Margaret Court, Kerry Reid
Evonne Goolagong, Margaret Court
Sue Mappin, Susan Pendlebury
Annette Coe, Janine Lieffrig
Sharon Walsh Pete, Patricia Walkden
Odile De Roubin, Marion Lloyd Wronsley
Patricia Bostrom, C Judge
Lindsay Blachford, M Rawstone
Florence Guedy, D Mcmillan
Ilana Kloss, Sue Mappin
Annette Coe, Greer Stevens
Sharon Walsh Pete, Rowena Sanders
Alison Mcmillan, Odile De Roubin
Patricia Bostrom, Brigette Cuypers
Nicky Kruger, Lindsay Blachford
Linky Boshoff, Florence Guedy
Ilana Kloss, Elizabeth Vlotman
Sharon Walsh Pete, Annette Coe
Alison Mcmillan, Patricia Bostrom
Linky Boshoff, Nicky Kruger
Ilana Kloss, Sharon Walsh Pete
Linky Boshoff, Alison Mcmillan
Linky Boshoff, Ilana Kloss
Marilyn Pryde, Nora Blom
Lesley Hunt, Judy Chaloner
Lesley Hunt, Marilyn Pryde
Kathy Blake, Helena Anliot
Beverley Vercoe, Judith Phillips
Janet Young, Lyn Ward
Margareta Strandberg, Lee Ann
Ann Kiyomura Hayashi, Judy Chaloner
Lindsey Beaven, Toshiko Sade
Evonne Goolagong, Shelley Monds
Sue Barker, Isabelle Larsson
Nora Blom, Kathy Blake
Wendy Turnbull, Beverley Vercoe
Peggy Michel, Mimi Wikstedt
Jackie Fayter, Robyn Legge
Janet Young, Margareta Strandberg
Ann Kiyomura Hayashi, Lindsey Beaven
Evonne Goolagong, Sue Barker
Wendy Turnbull, Nora Blom
Peggy Michel, Jackie Fayter
Ann Kiyomura Hayashi, Janet Young
Evonne Goolagong, Wendy Turnbull
Ann Kiyomura Hayashi, Peggy Michel
Evonne Goolagong, Ann Kiyomura Hayashi
Sharon Walsh Pete, Annette Coe
Florence Guedy, S Rodgers
Sue Mappin, Liz Gordon
Joan Wilshere, Karin Boshoff
Joan Johnson, Lindsay Blachford
Sharon Walsh Pete, Marilyn Jansen
Odile De Roubin, Florence Guedy
Nicky Kruger, Sue Mappin
Ilana Kloss, Laura Rossouw
Sharon Walsh Pete, Linky Boshoff
Greer Stevens, Odile De Roubin
Brenda Kirk, Nicky Kruger
Sharon Walsh Pete, Ilana Kloss
Brenda Kirk, Greer Stevens
Sharon Walsh Pete, Brenda Kirk
Mona Guerrant, Helen Metzger
Janet Hopps, Michelle Carey
Jane Stratton, Terry Holladay
Kathy May, Nancy Russell
Hedy Jackson, Bee Kilgore
Julie Anthony, Sue Boyle
