Catarina Lindqvist Ryan, Jennifer Fuchs
Lori Mcneil, Dee Ann Hansel
Manon Bollegraf, Xanthe Adams
Paulette Moreno, Marianne Van Der Torre
Jenny Byrne, Sybille Niox Chateau
Catherine Tanvier, Michelle Bowrey
Jo Durie, Julie Salmon
Hellas Ter Riet, Sarah Loosemore
Hana Mandlikova, Mima Jausovec
Pam Shriver, Eva Pfaff
Rosalyn Fairbank, Yukie Koizumi
Julie Halard Decugis, Masako Yanagi
Nicole Jagerman, Amanda Tobin
Lisa Oneill, Olga Tsarbopoulou
Anne Minter, Karen Deed
Carol Christian, Jennifer Goodling
Maria Christine Damas, Katie Rickett
Radomira Zrubakova, Jill Smoller
Elizabeth Galphin, Paula Smith
Emiko Okagawa, Maider Laval
Candy Reynolds, Marie Christine Calleja
Melissa Brown, Pam Casale
Michelle Jaggard Lai, Alison Scott
Jo Anne Faull, Susan Mascarin
Claudia Kohde Kilsch, Wiltrud Probst
Zina Garrison, Stephanie Faulkner
Eva Krapl, Amy Frazier
Claudia Porwik, Vicki Nelson
Cynthia Macgregor, Patricia Hy Boulais
Akemi Nishiya, Pascale Paradis Mangon
Etsuko Inoue, Jana Novotna
Amy Schwartz, Sherri Norris
Barbara Potter, Clare Wood
Heather Ludloff, Liz Smylie
Lea Antonoplis, Annabel Croft
Celine Cohen, Jill Hetherington
Catherine Suire, Ei Iida
Sandra Wasserman, Stephanie Savides
Patty Fendick, Penny Barg
Beverly Bowes, Tina Mochizuki
Chris Evert, Gretchen Magers
Helena Sukova, Jamie Golder
Louise Field, Emmanuelle Derly
Ann Devries, Teresa Edgar
Maria Lindstrom, Carin Bakkum
Sally Mccann, Brenda Schultz Mccarthy
Belinda Cordwell, Christiane Jolissaint
Nicole Bradtke, Valda Lake
Wendy Wood, Dianne Fromholtz
Sylvia Hanika, Sara Gomer
Marianne Werdel Witmeyer, Katrina Adams
Julie Richardson, Kumiko Okamoto
Leigh Anne Eldredge, Camille Benjamin
Akiko Kijimuta, Pilar Vasquez
Sandy Collins, Marcella Mesker
Anna Maria Fernandez, Kristine Kunce
Martina Navratilova, Elizabeth Minter
Steffi Graf, Janine Tremelling
Cammy Macgregor, Monique Javer
Robin White, Lindsay Bartlett
Catarina Lindqvist Ryan, Ann Henricksson
Lori Mcneil, Manon Bollegraf
Jenny Byrne, Paulette Moreno
Catherine Tanvier, Jo Durie
Hana Mandlikova, Hellas Ter Riet
Pam Shriver, Rosalyn Fairbank
Nicole Jagerman, Julie Halard Decugis
Anne Minter, Lisa Oneill
Carol Christian, Maria Christine Damas
Radomira Zrubakova, Elizabeth Galphin
Emiko Okagawa, Candy Reynolds
Melissa Brown, Michelle Jaggard Lai
Claudia Kohde Kilsch, Jo Anne Faull
Eva Krapl, Zina Garrison
Claudia Porwik, Cynthia Macgregor
Etsuko Inoue, Akemi Nishiya
Barbara Potter, Amy Schwartz
Lea Antonoplis, Heather Ludloff
Celine Cohen, Catherine Suire
Patty Fendick, Sandra Wasserman
Chris Evert, Beverly Bowes
Helena Sukova, Louise Field
Maria Lindstrom, Ann Devries
Belinda Cordwell, Sally Mccann
Nicole Bradtke, Wendy Wood
Sylvia Hanika, Marianne Werdel Witmeyer
Leigh Anne Eldredge, Julie Richardson
Akiko Kijimuta, Sandy Collins
Martina Navratilova, Anna Maria Fernandez
Steffi Graf, Cammy Macgregor
Catarina Lindqvist Ryan, Robin White
Lori Mcneil, Jenny Byrne
Hana Mandlikova, Catherine Tanvier
Pam Shriver, Nicole Jagerman
Anne Minter, Carol Christian
Radomira Zrubakova, Emiko Okagawa
Claudia Kohde Kilsch, Melissa Brown
Claudia Porwik, Eva Krapl
Barbara Potter, Etsuko Inoue
Celine Cohen, Lea Antonoplis
Chris Evert, Patty Fendick
Helena Sukova, Maria Lindstrom
Belinda Cordwell, Nicole Bradtke
Sylvia Hanika, Leigh Anne Eldredge
Martina Navratilova, Akiko Kijimuta
Steffi Graf, Catarina Lindqvist Ryan
Hana Mandlikova, Lori Mcneil
Anne Minter, Pam Shriver
Claudia Kohde Kilsch, Radomira Zrubakova
Claudia Porwik, Barbara Potter
Chris Evert, Celine Cohen
Helena Sukova, Belinda Cordwell
Martina Navratilova, Sylvia Hanika
Steffi Graf, Hana Mandlikova
Claudia Kohde Kilsch, Anne Minter
Chris Evert, Claudia Porwik
Martina Navratilova, Helena Sukova
Steffi Graf, Claudia Kohde Kilsch
Chris Evert, Martina Navratilova
Steffi Graf, Chris Evert
Steffi Graf, Nathalie Guerree Spitzer
Ronni Reis, Niurka Sodupe
Eva Pfaff, Amy Frazier
Susan Sloane Lundy, Camille Benjamin
Jenny Byrne, Pascale Paradis Mangon
Dianne Van Rensburg, Kathy Rinaldi Stunkel
Nathalie Tauziat, Manon Bollegraf
Luciana Corsato Owsianka, Halle Cioffi
Lori Mcneil, Elly Hakami
Christiane Jolissaint, Cristina Casale
Tine Scheuer Larsen, Catherine Suire
Conchita Martinez, Alexia Dechaume Balleret
Radomira Zrubakova, Monique Javer
Patricia Tarabini, Jana Novotna
Bettina Fulco, Maria Christine Damas
Hana Mandlikova, Elizabeth Minter
Gabriela Sabatini, Maider Laval
Karen Schimper, Maria Lindstrom
Mareen Louie Harper, Lisa Bonder Kreiss
Masako Yanagi, Michelle Jaggard Lai
Mariana Perez Roldan, Susan Mascarin
Brenda Schultz Mccarthy, Sandra Wasserman
Jana Pospisilova, Rosalyn Fairbank
Sandra Cecchini, Kumiko Okamoto
Raffaella Reggi Concato, Sabrina Goles
Maria Strandlund Tomsvik, Christina Singer
Nicole Jagerman, Marcella Mesker
Julie Halard Decugis, Gisele Miro
Helen Kelesi, Marie Christine Calleja
Andrea Holikova, Nathalie Herreman
Linda Ferrando, Kathy Horvath
Manuela Maleeva Fragniere, Petra Huber
Claudia Kohde Kilsch, Angelika Kanellopoulou
Federica Bonsignori, Hu Na
Nicole Bradtke, Sybille Niox Chateau
Emmanuelle Derly, Regina Marsikova
Wiltrud Probst, Sabine Hack
Isabelle Demongeot, Akiko Kijimuta
Karine Quentrec, Adriana Villagran Reami
Sylvia Hanika, Claudia Porwik
Catherine Tanvier, Katerina Maleeva
Hester Witvoet, Andrea Tiezzi
Jo Durie, Terry Phelps
Elna Reinach, Carling Bassett Seguso
Silke Meier, Anne Minter
Arantxa Sanchez Vicario, Iwona Kuczynska
Barbara Romano, Jonna Jonerup
Chris Evert, Judith Wiesner
Helena Sukova, Isabel Cueto
Sabine Appelmans, Elise Burgin
Mercedes Paz, Catarina Lindqvist Ryan
Donna Faber, Catherine Mothes Jobkel
Laura Garrone, Katrina Adams
Michelle Torres, Natalia Egorova
